mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211237730,27111.9,-1444.75,6420,0.986616,0.98964,0.000142587,0,0,0,0,1,0,0,0,0.051389,0.899779,0.0488321,0.0032789,0.0032789,0,0
261146000,29710.5,4318.54,6420,0.99006,0.99007,5.32074e-05,0,0,0,0,0,1,0,0,0.0500384,0.900015,0.0499465,0.272677,0.272677,0,0
211237730,27277.7,-1491.44,6480,0.986587,0.99067,0.000133946,0,0,1,0,1,0,0,0,0.0505151,0.900753,0.0487324,0.00387305,0.00387305,0,0
261146000,29612,4229.79,6480,0.989605,0.98939,0.000120991,0,0,0,0,0,1,0,0,0.0496166,0.896799,0.0535839,0.229498,0.229498,1,0
211237730,27458.2,-1537.17,6540,0.98857,0.99035,7.855e-05,0,0,0,0,1,0,0,0,0.0496418,0.894977,0.0553816,0.20317,0.20317,1,0
261146000,29499.9,4159.49,6540,0.986208,0.98997,0.000134863,1,0,0,0,0,1,0,0,0.0513579,0.898091,0.0505507,0.00379764,0.00379764,1,0
211237730,27622.5,-1568.37,6600,0.988613,0.98976,0.000135071,0,0,0,0,1,0,0,0,0.0496914,0.894144,0.0561649,0.20395,0.20395,0,0
261146000,29396.5,4084.96,6600,0.989069,0.99052,8.66447e-05,0,0,0,0,0,1,0,0,0.0506632,0.894671,0.0546662,0.20517,0.20517,1,0
211237730,27745,-1550.57,6660,0.986158,0.99005,0.00013064,1,0,0,0,1,0,0,0,0.0504264,0.899147,0.0504268,0.00375187,0.00375187,1,0
261146000,29287.5,4011.2,6660,0.990377,0.98983,0.000131588,0,0,0,0,0,1,0,0,0.050096,0.899093,0.0508112,0.275447,0.275447,0,0
211237730,27753.9,-1518.42,6720,0.989574,0.957242,0.00502426,0,1,0,1,0,0,0,0,0.0792643,0.874443,0.0462926,0.0409776,0.0409776,1,0
