mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211237730,27111.9,-1444.75,6420,0.990143,0.988761,1,1,1,0,0,1,0,0,0,0.0524704,0.899786,0.0477432,0.536925,0.278946,0,0
261146000,29710.5,4318.54,6420,0.988434,0.992169,0.000232368,1,1,0,0,0,1,0,0,0.00107341,0.939016,0.0599103,0.000230433,9.21035e-05,0,0
211237730,27277.7,-1491.44,6480,0.990166,0.988922,1,1,1,1,0,1,0,0,0,0.0514936,0.900744,0.0477628,0.523533,0.274411,0,0
261146000,29612,4229.79,6480,0.987403,0.996862,0.000213806,1,1,0,0,0,1,0,0,1.06476e-05,0.958067,0.0419219,0.000253791,6.67497e-05,1,0
211237730,27458.2,-1537.17,6540,0.990069,0.990716,1,1,1,0,0,1,0,0,0,0.0469861,0.903859,0.0491546,0.542541,0.289343,1,0
261146000,29499.9,4159.49,6540,0.989489,0.994269,0.000291641,1,1,0,0,0,1,0,0,1.77118e-05,0.989687,0.0102949,0.000158805,8.43664e-05,1,0
211237730,27622.5,-1568.37,6600,0.989767,0.990918,1,1,1,0,0,1,0,0,0,0.0523669,0.89739,0.0502427,0.531539,0.272704,0,0
261146000,29396.5,4084.96,6600,0.921201,0.999991,0.000916859,1,1,0,0,0,1,0,0,5.87036e-05,0.437044,0.562898,0.000476306,0.000251799,1,0
211237730,27745,-1550.57,6660,0.990248,0.991534,1,1,1,0,0,1,0,0,0,0.054499,0.898484,0.0470165,0.5285,0.270381,1,0
261146000,29287.5,4011.2,6660,0.999649,0.999976,0.00221379,1,1,0,0,0,1,0,0,9.09393e-05,0.0401193,0.95979,0.00116985,0.00060794,0,0
211237730,27753.9,-1518.42,6720,0.99007,0.989905,1,1,1,0,1,0,0,0,0,0.0548388,0.893613,0.0515477,0.987451,0.977471,1,0
261146000,29198,3933.31,6720,0.933844,0.999707,0.0283293,1,1,0,0,1,0,0,0,0.0025122,0.0244752,0.973013,0.999703,0.999703,1,0
211237730,27685.8,-1461.63,6780,0.989793,0.988432,1,1,1,0,1,0,0,0,0,0.0467492,0.902244,0.0510073,0.982825,0.92645,1,0
261146000,29108.2,3856.2,6780,0.989968,0.991115,1,1,1,0,0,1,0,0,0,0.0724662,0.877173,0.0503607,0.990452,0.944152,1,0
211237730,27607,-1362.63,6840,0.990626,0.99238,1,1,1,0,1,0,0,0,0,0.053792,0.898309,0.0478987,1,1,1,0
261146000,29000.4,3789.39,6840,0.990106,0.990352,1,1,1,0,0,1,0,0,0,0.0403377,0.909026,0.0506363,0.999981,0.999974,1,0
211237730,27540.9,-1258.92,6900,0.990124,0.99256,1,1,1,1,1,0,0,0,0,0.049714,0.895625,0.0546605,1,0.962237,0,0
261146000,28913.9,3703.16,6900,0.988386,0.988761,1,1,1,0,0,1,0,0,0,0.0852459,0.859034,0.0557203,0.999972,0.963853,0,0
211237730,27462.2,-1148.72,6960,0.989013,0.987618,1,1,1,1,1,0,0,0,0,0.0503511,0.89817,0.0514791,1,1,0,0
261146000,28799.9,3635.63,6960,0.991113,0.99048,1,1,1,0,0,1,0,0,0,0.11164,0.841975,0.0463853,0.997918,0.997864,1,0
211237730,27390.2,-1039.88,7020,0.989827,0.999023,1,1,1,1,1,0,0,0,0,0.0397442,0.908787,0.0514689,1,0.977684,0,0
261146000,28687,3571.5,7020,0.990806,0.990062,1,1,1,0,0,1,0,0,0,0.0353565,0.917645,0.0469984,0.999991,0.982434,1,0
211237730,27300.9,-926.636,7080,0.990646,0.987356,1,1,1,1,1,0,0,0,0,0.0704936,0.895813,0.0336933,0.999999,0.997309,0,0
261146000,28584.8,3488.78,7080,0.990607,0.988759,1,1,1,0,0,1,0,0,0,0.00180916,0.949694,0.0484972,0.999953,0.996836,0,0
211237730,27219.1,-808.738,7140,0.989776,0.984347,1,1,1,0,1,0,0,0,0,0.0791341,0.866167,0.0546989,1,0.999799,0,0
261146000,28480.4,3418.56,7140,0.991555,0.990665,1,1,1,0,0,1,0,0,0,0.000230689,0.953846,0.0459237,0.999966,0.999091,0,0
