mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
219022165,-36743.7,-7499.54,1200,0,0.0649924,0.0722229,0.981194,1.42217e-05,1,0,0,0,0,0.0534398,0.894154,0.052406,0.999996
244150372,-37062.5,-7470.77,1200,0,0.767656,0.0289452,0.710213,0.000387184,0,1,0,0,0,1.86818e-05,0.970096,0.0298858,0.999892
219022165,-36721.9,-7213.36,1260,0,0.074498,0.112178,0.990106,1.47212e-05,1,0,0,0,0,0.044351,0.911291,0.0443582,1
244150372,-37145.7,-7575.23,1260,0,0.858688,0.895058,0.859027,0.000359556,0,1,0,0,0,1.79339e-05,0.963621,0.0363609,0.999906
219022165,-36739.1,-6925.13,1320,0,0.0816432,0.094157,0.999352,1.4258e-05,1,0,0,0,0,0.0446635,0.912615,0.0427214,1
244150372,-37225.5,-7669.94,1320,0,0.482489,0.0377772,0.92409,0.000148906,0,1,0,0,0,7.56556e-06,0.999985,7.44528e-06,0.999966
219022165,-36778.6,-6638.45,1380,0,0.0322584,0.116675,0.970866,1.58281e-05,1,0,0,0,0,0.0469351,0.877559,0.075506,1
244150372,-37305.3,-7764.65,1380,0,0.454195,0.453058,0.907345,0.000112629,0,1,0,0,0,5.4265e-06,0.999989,5.70627e-06,0.999975
219022165,-36821.3,-6356.3,1440,0,0.0565913,0.0692969,0.999263,1.3699e-05,1,0,0,0,0,0.0537015,0.897637,0.0486615,1
244150372,-37385.1,-7859.37,1440,0,4.37519e-05,0.404465,0.000917035,0.000926297,0,1,0,0,0,4.7785e-05,0.793796,0.206157,0.999772
219022165,-36866.5,-6071.68,1500,0,0.0355803,0.124552,0.98889,1.66286e-05,1,0,0,0,0,0.0593288,0.911351,0.0293198,1
244150372,-37464.9,-7954.09,1500,0,3.50908e-05,0.403841,0.000703108,0.000710277,0,1,0,0,0,3.56614e-05,0.793957,0.206007,0.999853
