mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-35958.2,-10242.8,540,0.980276,0.9894,0.00102325,0,0,0,1,0,0,0,0,0.0498368,0.897747,0.0524159,0.999979,0.999979
244150372,-35855.5,-5810.48,540,0.98083,0.99004,0.00101141,0,0,0,0,1,0,0,0,0.0486498,0.900239,0.0511116,0.998777,0.998777
219022165,-36116,-9994.7,600,0.979365,0.99039,0.00113802,0,0,0,1,0,0,0,0,0.0488783,0.899636,0.051486,0.999976,0.999741
244150372,-35990.8,-5941.13,600,0.980389,0.99025,0.0011304,0,0,0,0,1,0,0,0,0.0498151,0.897154,0.0530304,0.999116,0.996931
219022165,-36269.5,-9754.03,660,0.979501,0.98956,0.000847342,0,0,0,1,0,0,0,0,0.048636,0.900294,0.0510699,1,0.994649
244150372,-36100.1,-6083.01,660,0.978837,0.98992,0.00120119,0,1,0,0,1,0,0,0,0.0517906,0.947067,0.00114215,0.99926,0.993192
219022165,-36434.4,-9510.28,720,0.979926,0.99067,0.000944179,0,0,0,1,0,0,0,0,0.047597,0.901874,0.0505289,0.999979,0.995897
244150372,-36213.6,-6234.63,720,0.97914,0.98986,0.00121015,0,1,0,0,1,0,0,0,0.0526695,0.946269,0.00106118,0.999127,0.993195
219022165,-36602.2,-9265.43,780,0.978578,0.98965,0.000942442,0,0,0,1,0,0,0,0,0.043474,0.907001,0.0495247,1,0.997916
244150372,-36326.6,-6386.09,780,0.97915,0.98995,0.00124508,0,1,0,0,1,0,0,0,0.0522792,0.946573,0.00114749,0.999182,0.995392
219022165,-36765.7,-9025.02,840,0.980387,0.9897,0.000970478,0,0,0,1,0,0,0,0,0.0454217,0.90451,0.0500687,1,0.996196
244150372,-36445.8,-6535.2,840,0.978794,0.98963,0.00125806,0,1,0,0,1,0,0,0,0.0542282,0.944397,0.00137511,0.999039,0.991484
219022165,-36920,-8789.9,900,0.98138,0.98976,0.000923403,0,0,0,1,0,0,0,0,0.0410391,0.907966,0.0509948,1,0.99619
244150372,-36557.5,-6680.86,900,0.978932,0.99045,0.0012524,0,1,0,0,1,0,0,0,0.0522204,0.946417,0.0013628,0.999059,0.991886
219022165,-37084.6,-8550.98,960,0.98125,0.98971,0.000829907,0,0,0,1,0,0,0,0,0.0433642,0.906417,0.0502187,0.999952,0.988106
244150372,-36653.2,-6840.23,960,0.979056,0.9898,0.0012462,0,1,0,0,1,0,0,0,0.0531908,0.945752,0.0010576,0.999193,0.989351
219022165,-37081.8,-8285.14,1020,0.0681634,0.98976,0.069575,1,0,0,1,0,0,0,0,0.0478425,0.901285,0.0508722,1,0.999721
244150372,-36756.9,-6997.21,1020,0.8806,0.891631,0.70038,0,1,0,0,1,0,0,0,0.0384415,0.913785,0.0477733,0.800798,0.79988
219022165,-36958.3,-8022.75,1080,0.0998887,0.99081,0.101315,1,0,0,1,0,0,0,0,0.100342,0.853831,0.0458263,0.99997,0.99791
244150372,-36862.8,-7155.04,1080,0.927123,0.933835,0.512911,0,1,0,0,1,0,0,0,0.136523,0.839005,0.0244718,0.571976,0.571279
219022165,-36826.7,-7768.89,1140,0,0.98977,0.00153733,1,0,0,1,0,0,0,0,0.046113,0.901931,0.0519559,1,0.999115
244150372,-36964.5,-7312.63,1140,0.903958,0.922906,0.922484,0,1,0,0,1,0,0,0,0.0451312,0.909965,0.0449042,0.98965,0.988356
219022165,-36743.7,-7499.54,1200,0,0.98988,0.00152884,1,0,0,1,0,0,0,0,0.051932,0.898565,0.0495034,1,0.999115
244150372,-37062.5,-7470.77,1200,0.878801,0.888338,0.897047,0,1,0,0,1,0,0,0,0.0467593,0.911377,0.0418634,0.999681,0.999187
219022165,-36721.9,-7213.36,1260,0,0.98974,0.00146829,1,0,0,1,0,0,0,0,0.0439512,0.905707,0.0503414,1,0.998182
244150372,-37145.7,-7575.23,1260,0.827516,0.853835,0.844494,0,1,0,0,1,0,0,0,0.0418946,0.916625,0.0414808,0.981788,0.98063
219022165,-36739.1,-6925.13,1320,0,0.9905,0.00152035,1,0,0,1,0,0,0,0,0.0531785,0.893386,0.0534353,0.999973,0.998062
244150372,-37225.5,-7669.94,1320,0.856851,0.866046,0.874553,0,1,0,0,1,0,0,0,0.0433705,0.916231,0.0403987,0.999695,0.998386
219022165,-36778.6,-6638.45,1380,0,0.99046,0.00149883,1,0,0,1,0,0,0,0,0.0435698,0.907104,0.049326,1,0.99822
244150372,-37305.3,-7764.65,1380,0.720413,0.758003,0.735142,0,1,0,0,1,0,0,0,0.037159,0.925656,0.0371854,0.969039,0.967771
219022165,-36821.3,-6356.3,1440,0,0.98937,0.0015226,1,0,0,1,0,0,0,0,0.0541473,0.89417,0.0516825,1,0.998292
244150372,-37385.1,-7859.37,1440,0.927857,0.937255,0.94702,0,1,0,0,1,0,0,0,0.0475015,0.905224,0.0472746,0.999476,0.997801
219022165,-36866.5,-6071.68,1500,0,0.99007,0.00150113,1,0,0,1,0,0,0,0,0.0538884,0.894617,0.0514942,1,0.996824
244150372,-37464.9,-7954.09,1500,0.906154,0.991185,0.924403,0,1,0,0,1,0,0,0,0.0462715,0.901542,0.0521862,0.924217,0.922016
