mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
219022165,-35550,-11937.9,180,0.979758,0.105068,0.105516,0.989219,1.71859e-05,0,1,0,0,0,0.0501343,0.899243,0.0506227,1
244150372,-35664.5,-4943.49,180,0.9802,0.105678,0.105802,0.989915,0,1,0,0,0,0,0.0501958,0.901287,0.0485173,1
219022165,-35607,-11648.5,240,0.98054,0.105161,0.104637,0.990368,2.1737e-05,0,1,0,0,0,0.0512024,0.898432,0.0503658,1
244150372,-35571.2,-5106.66,240,0.980795,0.10615,0.105938,0.990304,8.40072e-06,1,0,0,0,0,0.0501756,0.900636,0.0491889,1
219022165,-35652.6,-11360.2,300,0.980309,0.104455,0.10639,0.990095,0,0,1,0,0,0,0.0504336,0.89787,0.0516962,1
244150372,-35474.8,-5270.98,300,0.980275,0.10618,0.106105,0.990017,0,1,0,0,0,0,0.0493844,0.900257,0.0503584,1
219022165,-35708.1,-11077.9,360,0.981041,0.106181,0.105526,0.989989,0,0,0,1,0,0,0.0503721,0.899379,0.0502485,1
244150372,-35442.1,-5456.05,360,0.979772,0.139302,0.131275,0.984388,1.49206e-05,0,1,0,0,0,0.0509869,0.899996,0.049017,0.999991
219022165,-35756.4,-10790.5,420,0.980035,0.106007,0.106759,0.989934,4.79891e-06,1,0,0,0,0,0.0498762,0.899119,0.051005,1
244150372,-35561.6,-5609.04,420,0.979754,0.13837,0.13013,0.989382,1.26677e-05,0,1,0,0,0,0.0487702,0.899824,0.0514063,0.999992
219022165,-35833.8,-10507.1,480,0.979785,0.106993,0.105827,0.989623,1.76563e-05,1,0,0,0,0,0.048605,0.901207,0.0501876,1
244150372,-35728.4,-5680.69,480,0.966667,0.254823,0.137423,0.986195,0.000129697,0,1,0,0,0,0.0509648,0.896141,0.0528938,0.999871
219022165,-35958.2,-10242.8,540,0.954523,0.237233,0.12586,0.990462,3.70353e-05,1,0,0,0,0,0.114198,0.840451,0.0453505,0.999979
244150372,-35855.5,-5810.48,540,0.98048,0.27098,0.127941,0.988709,1.24961e-05,0,1,0,0,0,0.0775663,0.878114,0.0443193,0.999994
219022165,-36116,-9994.7,600,0.955423,0.234877,0.123409,0.99256,2.35656e-05,1,0,0,0,0,0.116476,0.828877,0.0546469,0.999977
244150372,-35990.8,-5941.13,600,0.979784,0.281477,0.117516,0.990032,3.55522e-05,0,1,0,0,0,0.0425843,0.912631,0.0447842,0.999974
219022165,-36269.5,-9754.03,660,0.952714,0.232986,0.134569,0.99957,7.88957e-06,1,0,0,0,0,0.124143,0.858511,0.0173463,1
244150372,-36100.1,-6083.01,660,0.979284,0.253529,0.156484,0.994208,3.35935e-05,0,1,0,0,0,0.0418505,0.903518,0.0546316,0.999979
219022165,-36434.4,-9510.28,720,0.970101,0.300897,0.0459839,0.999708,3.83288e-07,1,0,0,0,0,0.076645,0.880722,0.0426328,1
244150372,-36213.6,-6234.63,720,0.980251,0.245335,0.109459,0.99106,3.09613e-05,0,1,0,0,0,0.070675,0.86676,0.0625649,0.99998
219022165,-36602.2,-9265.43,780,0.971549,0.00350668,0.129267,0.999707,3.55699e-07,1,0,0,0,0,0.253749,0.744834,0.00141645,1
244150372,-36326.6,-6386.09,780,0.978535,0.246088,0.111599,0.988361,3.33343e-05,0,1,0,0,0,0.0494369,0.902217,0.0483465,0.999979
219022165,-36765.7,-9025.02,840,0,0.125429,0.107385,0.990166,1.25074e-05,1,0,0,0,0,0.0497593,0.90198,0.0482608,0.999999
244150372,-36445.8,-6535.2,840,0.977812,0.253264,0.126359,0.99244,3.31633e-05,0,1,0,0,0,0.00108931,0.978414,0.0204964,0.999978
219022165,-36920,-8789.9,900,0,0.120624,0.108995,0.989523,1.24711e-05,1,0,0,0,0,0.0500804,0.900287,0.049633,0.999999
244150372,-36557.5,-6680.86,900,0.981311,0.17738,0.0355575,0.991771,2.9281e-05,0,1,0,0,0,0.000954187,0.928702,0.070344,0.99998
219022165,-37084.6,-8550.98,960,0,0.12567,0.111531,0.988204,1.2396e-05,1,0,0,0,0,0.0499453,0.899965,0.0500896,0.999999
244150372,-36653.2,-6840.23,960,0.984439,0.142254,0.427454,0.994016,2.36026e-05,0,1,0,0,0,0.000879192,0.710814,0.288307,0.999984
219022165,-37081.8,-8285.14,1020,0,0.126131,0.103939,0.991036,1.37031e-05,1,0,0,0,0,0.0518226,0.896426,0.051751,0.999997
244150372,-36756.9,-6997.21,1020,0.00151384,0.226668,0.102793,0.977428,0.00154448,0,1,0,0,0,0.014495,0.958982,0.0265229,0.99868
219022165,-36958.3,-8022.75,1080,0,0.115921,0.132588,0.988455,1.30654e-05,1,0,0,0,0,0.047486,0.905144,0.0473696,0.999997
244150372,-36862.8,-7155.04,1080,0.00753535,0.202331,0.128769,0.977244,0.00757539,0,1,0,0,0,0.00184568,0.976056,0.0220983,0.992457
219022165,-36826.7,-7768.89,1140,0,0.16166,0.103555,0.980538,1.36097e-05,1,0,0,0,0,0.0486377,0.898,0.0533627,0.999998
244150372,-36964.5,-7312.63,1140,0,0.214733,0.145289,0.966529,2.59429e-05,0,1,0,0,0,0.0789696,0.884017,0.0370133,0.999995
219022165,-36743.7,-7499.54,1200,0,0.0989366,0.0854868,0.992071,1.2406e-05,1,0,0,0,0,0.0454481,0.924102,0.03045,0.999997
244150372,-37062.5,-7470.77,1200,0,0.291933,0.233113,0.978573,3.17903e-05,0,1,0,0,0,0.127238,0.808689,0.0640734,0.999993
219022165,-36721.9,-7213.36,1260,0,0.138074,0.0617561,0.991982,1.32548e-05,1,0,0,0,0,0.0525889,0.89944,0.0479714,1
244150372,-37145.7,-7575.23,1260,0,0.155221,0.150807,0.980821,3.26684e-05,0,1,0,0,0,1.64496e-06,0.999997,1.63481e-06,0.999994
219022165,-36739.1,-6925.13,1320,0,0.129744,0.0906619,0.984036,1.22633e-05,1,0,0,0,0,0.0586756,0.874694,0.0666299,1
244150372,-37225.5,-7669.94,1320,0,0.236066,0.119077,0.982929,1.92691e-05,0,1,0,0,0,0.00509708,0.932233,0.0626699,0.999997
219022165,-36778.6,-6638.45,1380,0,0.128725,0.113272,0.999392,1.22536e-05,1,0,0,0,0,0.0377021,0.918309,0.0439892,1
244150372,-37305.3,-7764.65,1380,0,0.244407,0.122205,0.975134,3.09725e-05,0,1,0,0,0,1.50768e-06,0.999997,1.57935e-06,0.999995
219022165,-36821.3,-6356.3,1440,0,0.135095,0.105045,0.983016,1.37149e-05,1,0,0,0,0,0.0492461,0.910142,0.0406114,1
244150372,-37385.1,-7859.37,1440,0,0.334031,0.318813,0.960786,6.25774e-05,0,1,0,0,0,3.05664e-06,0.999994,3.15761e-06,0.999988
219022165,-36866.5,-6071.68,1500,0,0.124151,0.112413,0.973965,1.35604e-05,1,0,0,0,0,0.0558448,0.920207,0.0239481,1
244150372,-37464.9,-7954.09,1500,0,0.650025,0.323591,0.973654,4.85163e-05,0,1,0,0,0,2.49667e-06,0.999995,2.43738e-06,0.999992
