mmsi;x;y;time;colreg_compliant;good_seamanship;unmodeled_behaviour;has_turned_portwards;has_turned_starboardwards;change_in_speed;CR_PS;CR_SS;HO;OT_en;OT_ing;priority_lower;priority_similar;priority_higher;risk_of_collision;current_risk_of_collision;is_changing_course;start
259351000;6355.12;7307.33;480;0.961869;0.98957;0.0284689;0;0;0;0;0;1;0;0;0.0915845;0.845553;0.0628624;0.999641;0.251174;0;0
211200040;5109.45;12408.5;540;0;0.99052;1.22545e-05;1;0;0;0;0;1;0;0;0.05204;0.891525;0.0564346;0.999896;0.975023;1;0
259351000;6330.72;7482.15;540;0.951439;0.98954;0.0267097;0;0;0;0;0;1;0;0;0.0526046;0.851041;0.096354;0.999641;0.270222;0;0
211200040;5120.38;12197.3;600;0;0.99031;1.20604e-05;1;0;0;0;0;1;0;0;0.0522921;0.888305;0.0594027;0.999941;0.974694;0;0
259351000;6307.89;7662.41;600;0.941408;0.99004;0.0233514;0;0;0;0;0;1;0;0;0.0588992;0.915953;0.0251481;0.999641;0.275543;0;0
211200040;5119.31;11987.5;660;0;0.98986;1.2402e-05;1;0;1;0;0;1;0;0;0.0521219;0.891275;0.0566032;0.999853;0.964657;0;0
259351000;6278.17;7845.47;660;0.907772;0.99081;0.029948;0;0;0;0;0;1;0;0;0.0141742;0.916911;0.0689152;0.999641;0.312491;0;0
211200040;5140.59;11765.6;720;0;0.9896;1.25402e-05;1;0;1;0;0;1;0;0;0.052085;0.892374;0.0555414;0.999918;0.949754;0;0
259351000;6267.4;8030.86;720;0.903609;0.99027;0.0395913;0;0;0;0;0;1;0;0;0.0704989;0.75736;0.172141;0.999641;0.325235;1;0
211200040;5162.24;11549.9;780;0;0.0101932;0.00129926;1;1;1;0;0;1;0;0;0.0490978;0.892471;0.0584313;0.991094;0.984402;1;0
259351000;6245.5;8215.51;780;0.949861;0.98958;0.0315191;0;0;0;0;0;1;0;0;0.0674143;0.906463;0.0261231;0.999641;0.280727;1;0
211200040;5172.77;11339.7;840;0;0.00742762;0.00134625;1;1;1;0;0;1;0;0;0.0610709;0.885537;0.0533918;0.993905;0.957354;1;0
259351000;6223.61;8400.04;840;0.936543;0.98941;0.0537016;0;0;0;0;0;1;0;0;0.0680316;0.746651;0.185317;0.894979;0.371705;0;0
