Unnamed: 0;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
490206;212052000;2019-02-02 08:15:35;9.6;3.1;3;0;14.3;4.20533;59.4247
490207;212052000;2019-02-02 08:15:39;9.6;4.4;4;0;5.3;4.2053;59.4248
490208;212052000;2019-02-02 08:15:41;9.6;3.4;3;0;10.7;4.20531;59.4249
490209;212052000;2019-02-02 08:15:44;9.7;3.0;3;0;14.3;4.20532;59.4251
490210;212052000;2019-02-02 08:15:48;9.6;4.6;4;0;7.1;4.20536;59.4252
490211;212052000;2019-02-02 08:15:51;9.6;5.1;4;0;14.3;4.20539;59.4254
490212;212052000;2019-02-02 08:15:55;9.6;3.4;3;0;5.3;4.20539;59.4255
490213;212052000;2019-02-02 08:15:59;9.6;3.2;3;0;10.7;4.20533;59.4257
490214;212052000;2019-02-02 08:16:02;9.6;5.2;4;0;14.3;4.20545;59.4258
490215;212052000;2019-02-02 08:16:06;9.6;5.1;3;0;10.7;4.20547;59.426
490216;212052000;2019-02-02 08:16:08;9.6;3.4;4;0;10.7;4.20547;59.4261
490217;212052000;2019-02-02 08:16:11;9.6;4.3;3;0;14.3;4.2055;59.4263
490218;212052000;2019-02-02 08:16:19;9.6;4.3;4;0;5.3;4.2055;59.4265
490219;212052000;2019-02-02 08:16:26;9.6;4.3;4;0;6.1;4.20559;59.4268
490220;212052000;2019-02-02 08:16:31;9.6;4.4;3;0;12.8;4.20564;59.4272
490221;212052000;2019-02-02 08:16:34;9.6;4.2;4;0;7.1;4.20567;59.4273
490222;212052000;2019-02-02 08:16:38;9.6;4.5;3;0;10.7;4.20567;59.4275
490223;212052000;2019-02-02 08:16:45;9.6;4.7;3;0;9.2;4.20574;59.4278
490224;212052000;2019-02-02 08:16:52;9.6;4.3;3;0;6.1;4.20578;59.428
490225;212052000;2019-02-02 08:16:54;9.6;4.4;3;0;21.4;4.2058;59.4282
490226;212052000;2019-02-02 08:16:58;9.6;4.8;3;0;5.3;4.20583;59.4283
490227;212052000;2019-02-02 08:17:05;9.7;4.2;3;0;12.2;4.20583;59.4287
490228;212052000;2019-02-02 08:17:12;9.7;4.0;2;0;6.1;4.20591;59.4289
490229;212052000;2019-02-02 08:17:19;9.6;3.9;3;0;9.2;4.20595;59.4292
490230;212052000;2019-02-02 08:17:24;9.6;3.5;3;0;12.8;4.20598;59.4295
490231;212052000;2019-02-02 08:17:25;9.6;3.5;3;0;21.4;4.20599;59.4296
490232;212052000;2019-02-02 08:17:32;9.6;3.5;2;0;6.1;4.20602;59.4298
490233;212052000;2019-02-02 08:17:35;9.7;3.2;2;0;14.3;4.206;59.43
490234;212052000;2019-02-02 08:17:39;9.6;3.8;3;0;5.3;4.20606;59.4301
490235;212052000;2019-02-02 08:17:42;9.7;4.2;2;0;14.3;4.20609;59.4303
490236;212052000;2019-02-02 08:17:46;9.6;2.6;3;0;5.3;4.20609;59.4304
490237;212052000;2019-02-02 08:17:48;9.6;3.1;3;0;2.9;4.2061;59.4305
490238;212052000;2019-02-02 08:17:51;9.7;4.6;3;0;14.3;4.20614;59.4307
490239;212052000;2019-02-02 08:17:59;9.7;3.1;2;0;8.0;4.20617;59.431
490240;212052000;2019-02-02 08:18:06;9.6;3.8;3;0;9.2;4.20621;59.4313
490241;212052000;2019-02-02 08:18:11;9.6;3.3;3;0;12.8;4.20624;59.4316
490242;212052000;2019-02-02 08:18:18;9.6;3.8;2;0;9.2;4.20628;59.4319
490243;212052000;2019-02-02 08:18:26;9.6;3.3;2;0;8.0;4.20633;59.4322
490244;212052000;2019-02-02 08:18:29;9.6;3.9;3;0;7.1;4.20633;59.4323
490245;212052000;2019-02-02 08:18:31;9.6;3.3;2;0;21.4;4.20635;59.4325
490246;212052000;2019-02-02 08:18:34;9.6;2.5;2;0;7.1;4.20635;59.4326
490247;212052000;2019-02-02 08:18:38;9.6;2.6;3;0;10.7;4.20633;59.4328
490248;212052000;2019-02-02 08:18:45;9.6;2.8;3;0;9.2;4.20641;59.4331
490249;212052000;2019-02-02 08:18:52;9.6;4.0;3;0;9.2;4.20645;59.4334
490250;212052000;2019-02-02 08:18:58;9.6;2.4;2;0;10.7;4.20647;59.4337
490251;212052000;2019-02-02 08:19:05;9.6;3.9;3;0;9.2;4.20651;59.434
490252;212052000;2019-02-02 08:19:08;9.6;3.3;3;0;7.1;4.20653;59.4341
490253;212052000;2019-02-02 08:19:12;9.7;2.0;2;0;10.7;4.20652;59.4343
490254;212052000;2019-02-02 08:19:16;9.6;2.3;3;0;10.7;4.20655;59.4345
490255;212052000;2019-02-02 08:19:19;9.6;4.1;3;0;7.1;4.20658;59.4346
490256;212052000;2019-02-02 08:19:21;9.6;2.9;3;0;10.7;4.20658;59.4347
490257;212052000;2019-02-02 08:19:25;9.6;2.4;3;0;10.7;4.20659;59.4349
490258;212052000;2019-02-02 08:19:28;9.5;3.4;4;0;14.3;4.20667;59.435
490259;212052000;2019-02-02 08:19:31;9.6;3.7;3;0;14.3;4.20664;59.4352
490260;212052000;2019-02-02 08:19:35;9.6;2.8;4;0;5.3;4.20667;59.4353
490261;212052000;2019-02-02 08:19:39;9.6;3.8;4;0;10.7;4.20667;59.4355
490262;212052000;2019-02-02 08:19:42;9.7;3.7;4;0;7.1;4.20669;59.4356
490263;212052000;2019-02-02 08:19:46;9.5;3.2;4;0;5.3;4.2067;59.4357
490264;212052000;2019-02-02 08:19:48;9.6;4.4;4;0;21.4;4.20674;59.4359
490265;212052000;2019-02-02 08:19:51;9.5;4.3;4;0;14.3;4.20676;59.4361
490266;212052000;2019-02-02 08:19:55;9.7;3.4;3;0;5.3;4.20677;59.4362
490267;212052000;2019-02-02 08:19:58;9.5;4.0;4;0;14.3;4.2068;59.4364
490268;212052000;2019-02-02 08:20:02;9.6;5.2;4;0;10.7;4.20683;59.4365
490269;212052000;2019-02-02 08:20:06;9.6;4.3;4;0;5.3;4.20684;59.4366
490270;212052000;2019-02-02 08:20:09;9.6;3.7;4;0;7.1;4.20686;59.4368
490271;212052000;2019-02-02 08:20:11;9.6;5.1;4;0;10.7;4.20689;59.4369
490272;212052000;2019-02-02 08:20:15;9.6;4.4;4;0;10.7;4.20691;59.4371
490273;212052000;2019-02-02 08:20:18;9.6;3.9;3;0;7.1;4.20692;59.4372
490274;212052000;2019-02-02 08:20:22;9.6;4.8;3;0;5.3;4.20696;59.4374
490275;212052000;2019-02-02 08:20:25;9.6;4.6;4;0;7.1;4.20698;59.4375
490276;212052000;2019-02-02 08:20:26;9.6;4.3;3;0;21.4;4.20698;59.4376
490277;212052000;2019-02-02 08:20:29;9.7;3.8;3;0;7.1;4.207;59.4377
490278;212052000;2019-02-02 08:20:38;9.6;3.2;3;0;9.5;4.20706;59.4381
490279;212052000;2019-02-02 08:20:41;9.7;3.7;2;0;14.3;4.20708;59.4383
490280;212052000;2019-02-02 08:20:45;9.6;4.5;3;0;5.3;4.20711;59.4384
490281;212052000;2019-02-02 08:20:49;9.6;4.0;2;0;5.3;4.20712;59.4385
490282;212052000;2019-02-02 08:20:52;9.6;3.0;2;0;14.3;4.20713;59.4387
490283;212052000;2019-02-02 08:20:59;9.6;4.2;2;0;9.2;4.20718;59.439
490284;212052000;2019-02-02 08:21:01;9.6;2.9;2;0;21.4;4.20718;59.4392
490285;212052000;2019-02-02 08:21:05;9.6;1.8;2;0;5.3;4.20718;59.4393
490286;212052000;2019-02-02 08:21:08;9.6;3.2;2;0;7.1;4.20721;59.4395
490287;212052000;2019-02-02 08:21:12;9.6;2.9;2;0;5.3;4.20722;59.4396
490288;212052000;2019-02-02 08:21:16;9.6;2.3;3;0;10.7;4.20723;59.4398
490289;212052000;2019-02-02 08:21:19;9.6;2.6;3;0;7.1;4.20725;59.4399
490290;212052000;2019-02-02 08:21:26;9.6;2.8;3;0;9.2;4.20727;59.4402
490291;212052000;2019-02-02 08:21:28;9.6;3.1;3;0;10.7;4.20733;59.4403
490292;212052000;2019-02-02 08:21:31;9.6;2.1;2;0;14.3;4.20729;59.4405
490293;212052000;2019-02-02 08:21:35;9.6;2.6;3;0;5.3;4.20731;59.4406
490294;212052000;2019-02-02 08:21:39;9.6;3.5;3;0;10.7;4.20734;59.4408
490295;212052000;2019-02-02 08:21:42;9.6;2.5;3;0;7.1;4.20735;59.4409
490296;212052000;2019-02-02 08:21:46;9.6;2.2;3;0;10.7;4.20735;59.4411
490297;212052000;2019-02-02 08:21:49;9.5;3.9;4;0;14.3;4.20739;59.4413
490298;212052000;2019-02-02 08:21:51;9.6;3.5;3;0;10.7;4.2074;59.4414
490299;212052000;2019-02-02 08:21:55;9.5;2.5;4;0;10.7;4.20741;59.4416
490300;212052000;2019-02-02 08:21:58;9.5;3.0;4;0;7.1;4.20742;59.4417
490301;212052000;2019-02-02 08:22:02;9.6;4.1;4;0;5.3;4.20746;59.4418
490302;212052000;2019-02-02 08:22:06;9.5;3.8;4;0;10.7;4.20748;59.442
490303;212052000;2019-02-02 08:22:09;9.6;3.1;4;0;7.1;4.20749;59.4421
490304;212052000;2019-02-02 08:22:11;9.5;3.8;4;0;21.4;4.20751;59.4423
