mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
209449000;2020-10-08 12:10:00;;;;;;3.21688;59.9888
209449000;2020-10-08 12:11:00;11.1;188.8;189.0;0;;3.216245;59.986717
209449000;2020-10-08 12:12:00;11.1;188.3;189.0;0;;3.215321;59.983611
209449000;2020-10-08 12:13:00;11.0;188.7;189.0;0;;3.214383;59.980589
209449000;2020-10-08 12:14:00;11.0;188.6;189.0;0;;3.213454;59.9775
209449000;2020-10-08 12:15:00;11.0;188.5;189.0;0;;3.212548;59.974525
209449000;2020-10-08 12:16:00;11.0;188.8;189.0;0;;3.211631;59.971511
209449000;2020-10-08 12:17:00;10.9;188.7;189.0;0;;3.210726;59.968467
209449000;2020-10-08 12:18:00;10.9;188.7;189.0;0;;3.209792;59.965425
209449000;2020-10-08 12:19:00;10.9;188.9;189.0;0;;3.208929;59.962592
209449000;2020-10-08 12:20:00;10.9;188.0;188.0;0;;3.208038;59.959527
209449000;2020-10-08 12:21:00;10.8;187.8;189.0;0;;3.207286;59.956573
209449000;2020-10-08 12:22:00;10.8;187.6;189.0;0;;3.206431;59.953411
209449000;2020-10-08 12:23:00;10.9;187.6;189.0;0;;3.205578;59.95042
209449000;2020-10-08 12:24:00;10.8;187.0;189.0;0;;3.204845;59.947536
209449000;2020-10-08 12:25:00;10.7;187.2;189.0;0;;3.204073;59.944511
209449000;2020-10-08 12:26:00;10.7;187.7;189.0;0;;3.203243;59.941609
209449000;2020-10-08 12:27:00;10.7;187.5;189.0;0;;3.202469;59.938611
209449000;2020-10-08 12:28:00;10.8;188.1;189.0;0;;3.201699;59.935688
209449000;2020-10-08 12:29:00;10.7;187.7;189.0;0;;3.200908;59.932912
209449000;2020-10-08 12:30:00;10.8;187.4;189.0;0;;3.200095;59.92985
209508000;2020-10-08 12:10:00;;;;;;4.19916;59.8766
209508000;2020-10-08 12:11:00;8.8;0.0;1.0;0;;4.199176;59.87844
209508000;2020-10-08 12:12:00;8.9;0.0;1.0;0;;4.199217;59.880933
209508000;2020-10-08 12:13:00;8.8;0.0;1.0;0;;4.199267;59.88338
209508000;2020-10-08 12:14:00;8.9;359.4;1.0;0;;4.199295;59.885773
209508000;2020-10-08 12:15:00;8.8;1.1;1.0;0;;4.199356;59.888318
209508000;2020-10-08 12:16:00;8.9;2.0;1.0;0;;4.199415;59.890773
209508000;2020-10-08 12:17:00;9.0;358.7;1.0;0;;4.199436;59.893218
209508000;2020-10-08 12:18:00;8.9;2.9;1.0;0;;4.199511;59.895673
209508000;2020-10-08 12:19:00;9.0;359.5;1.0;0;;4.199566;59.898155
209508000;2020-10-08 12:20:00;9.0;0.2;1.0;0;;4.199626;59.900633
209508000;2020-10-08 12:21:00;9.0;0.9;1.0;0;;4.19969;59.90314
209508000;2020-10-08 12:22:00;8.9;0.9;1.0;0;;4.19974;59.905618
209508000;2020-10-08 12:23:00;8.9;1.6;1.0;0;;4.199795;59.908073
209508000;2020-10-08 12:24:00;9.0;358.0;1.0;0;;4.19981;59.910618
209508000;2020-10-08 12:25:00;8.8;2.0;1.0;0;;4.19989;59.913018
209508000;2020-10-08 12:26:00;8.9;2.1;1.0;0;;4.199963;59.915518
209508000;2020-10-08 12:27:00;9.0;358.8;1.0;0;;4.19997;59.917973
209508000;2020-10-08 12:28:00;9.0;3.9;1.0;0;;4.200072;59.92044
209508000;2020-10-08 12:29:00;8.9;359.7;1.0;0;;4.200106;59.922948
209508000;2020-10-08 12:30:00;8.9;1.2;1.0;0;;4.200184;59.925395
219024608;2020-10-08 12:10:00;;;;;;3.44339;59.7179
219024608;2020-10-08 12:11:00;5.2;177.8;176.0;0;;3.44347;59.716895
219024608;2020-10-08 12:12:00;5.4;177.7;176.0;0;;3.443601;59.715357
219024608;2020-10-08 12:13:00;5.4;175.9;173.0;0;;3.443754;59.713842
219024608;2020-10-08 12:14:00;5.3;174.5;173.0;0;;3.444049;59.712445
219024608;2020-10-08 12:15:00;5.2;174.2;172.0;0;;3.444362;59.710973
219024608;2020-10-08 12:16:00;5.1;174.1;172.0;0;;3.444659;59.709565
219024608;2020-10-08 12:17:00;4.1;177.0;174.0;0;;3.444849;59.708369
219024608;2020-10-08 12:18:00;3.2;179.7;174.0;0;;3.44493;59.707387
219024608;2020-10-08 12:19:00;3.2;178.8;174.0;0;;3.445009;59.706534
