mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
219164000;2021-01-08 08:22:00;0.3;58.2;118.0;0;;6.008993;59.123
219164000;2021-01-08 08:23:00;0.3;41.8;128.0;0;;6.00914;59.123027
219164000;2021-01-08 08:24:00;0.2;21.5;136.0;0;;6.009242;59.1231
219164000;2021-01-08 08:25:00;0.2;13.0;141.0;0;;6.009332;59.1232
219164000;2021-01-08 08:26:00;0.1;15.0;143.0;0;;6.00934;59.123271
219164000;2021-01-08 08:27:00;0.0;15.0;142.0;0;;6.00937;59.123276
219164000;2021-01-08 08:28:00;0.1;15.0;139.0;0;;6.00938;59.123242
219164000;2021-01-08 08:29:00;0.2;129.6;138.0;0;;6.009512;59.1232
219164000;2021-01-08 08:30:00;0.3;127.4;137.0;0;;6.009572;59.1232
219164000;2021-01-08 08:31:00;0.4;126.5;137.0;0;;6.009775;59.1231
219164000;2021-01-08 08:32:00;0.5;122.7;138.0;0;;6.009988;59.123
219164000;2021-01-08 08:33:00;2.0;133.0;169.0;0;;6.010705;59.1228
219164000;2021-01-08 08:34:00;2.7;179.8;217.0;0;;6.01112;59.122144
219164000;2021-01-08 08:35:00;2.8;230.6;267.0;0;;6.010433;59.1215
219164000;2021-01-08 08:36:00;3.1;280.8;286.0;0;;6.008907;59.121411
219164000;2021-01-08 08:37:00;4.3;288.2;287.0;0;;6.006863;59.1218
219164000;2021-01-08 08:38:00;5.1;284.4;283.0;0;;6.004402;59.122118
219164000;2021-01-08 08:39:00;5.8;283.9;284.0;0;;6.001466;59.1225
219164000;2021-01-08 08:40:00;6.3;284.7;284.0;0;;5.998222;59.12291
219164000;2021-01-08 08:41:00;6.6;285.9;288.0;0;;5.994777;59.123433
220000000;2021-01-08 08:22:00;11.6;178.1;180.0;0;;5.168156;60.361455
220000000;2021-01-08 08:23:00;11.5;174.4;176.0;0;;5.16862;60.3582
220000000;2021-01-08 08:24:00;11.4;177.8;175.0;0;;5.168775;60.355136
220000000;2021-01-08 08:25:00;11.5;178.9;179.0;0;;5.16899;60.3518
220000000;2021-01-08 08:26:00;11.3;169.1;167.0;0;;5.16963;60.3487
220000000;2021-01-08 08:27:00;11.4;164.0;162.0;0;;5.171172;60.345655
220000000;2021-01-08 08:28:00;11.4;153.5;151.0;0;;5.17358;60.3428
220000000;2021-01-08 08:29:00;11.5;140.3;138.0;0;;5.177266;60.340064
220000000;2021-01-08 08:30:00;11.6;125.7;123.0;0;;5.18203;60.338
220000000;2021-01-08 08:31:00;11.9;129.0;131.0;0;;5.187623;60.33617
220000000;2021-01-08 08:32:00;10.9;150.9;155.0;0;;5.19159;60.3338
220000000;2021-01-08 08:33:00;10.3;168.4;171.0;0;;5.193488;60.33095
220000000;2021-01-08 08:34:00;10.3;171.0;171.0;0;;5.194441;60.328191
220000000;2021-01-08 08:35:00;10.5;173.3;171.0;0;;5.195038;60.325255
220000000;2021-01-08 08:36:00;10.6;175.8;176.0;0;;5.195704;60.322391
220000000;2021-01-08 08:37:00;10.7;174.8;176.0;0;;5.196272;60.319355
220000000;2021-01-08 08:38:00;10.7;176.2;177.0;0;;5.196637;60.316491
220000000;2021-01-08 08:39:00;10.7;183.8;185.0;0;;5.1966;60.3135
220000000;2021-01-08 08:40:00;10.7;183.4;185.0;0;;5.196355;60.310545
220000000;2021-01-08 08:41:00;10.8;184.2;184.0;0;;5.1958;60.3076
257001810;2021-01-08 08:22:00;0.5;59.6;70.0;0;;5.016251;60.619
257001810;2021-01-08 08:23:00;0.7;70.1;76.0;0;;5.016548;60.619
257001810;2021-01-08 08:24:00;0.7;56.1;62.0;0;;5.016891;60.6191
257001810;2021-01-08 08:25:00;0.6;80.0;72.0;0;;5.017172;60.6192
257001810;2021-01-08 08:26:00;0.8;53.6;59.0;0;;5.017484;60.6193
257001810;2021-01-08 08:27:00;0.9;52.5;55.0;0;;5.017808;60.6194
257001810;2021-01-08 08:28:00;0.7;49.4;57.0;0;;5.01815;60.6195
257001810;2021-01-08 08:29:00;0.5;75.6;77.0;0;;5.018387;60.6196
257001810;2021-01-08 08:30:00;0.7;59.2;61.0;0;;5.018651;60.6196
257001810;2021-01-08 08:31:00;0.6;67.1;58.0;0;;5.018959;60.6198
257001810;2021-01-08 08:32:00;0.4;85.5;78.0;0;;5.01918;60.6198
257001810;2021-01-08 08:33:00;0.8;69.5;73.0;0;;5.019484;60.6198
257001810;2021-01-08 08:34:00;0.6;102.8;84.0;0;;5.01987;60.6199
257001810;2021-01-08 08:35:00;0.5;99.4;92.0;0;;5.020164;60.6199
257001810;2021-01-08 08:36:00;0.9;69.9;75.0;0;;5.020526;60.6199
257001810;2021-01-08 08:37:00;0.7;90.7;91.0;0;;5.020968;60.62
257001810;2021-01-08 08:38:00;0.4;40.4;68.0;0;;5.021142;60.620046
257001810;2021-01-08 08:39:00;0.6;53.1;61.0;0;;5.021324;60.6201
257001810;2021-01-08 08:40:00;0.4;95.2;78.0;0;;5.021618;60.6202
257001810;2021-01-08 08:41:00;0.5;77.0;90.0;0;;5.021829;60.6202
257017290;2021-01-08 08:22:00;13.5;14.2;10.0;0;;5.29653;60.200683
257017290;2021-01-08 08:23:00;13.6;13.2;11.0;0;;5.298356;60.204422
257017290;2021-01-08 08:24:00;13.6;6.8;359.0;0;;5.299883;60.2081
257017290;2021-01-08 08:25:00;13.3;353.0;348.0;0;;5.29961;60.2119
257017290;2021-01-08 08:26:00;12.9;338.6;336.0;0;;5.29768;60.21535
257017290;2021-01-08 08:27:00;9.5;338.8;337.0;0;;5.29536;60.2182
257017290;2021-01-08 08:28:00;7.1;339.8;339.0;0;;5.29381;60.2202
257017290;2021-01-08 08:29:00;5.5;339.8;337.0;0;;5.292649;60.22187
257017290;2021-01-08 08:30:00;3.2;335.5;342.0;0;;5.2917;60.2229
257017290;2021-01-08 08:31:00;1.1;343.2;345.0;0;;5.291372;60.2234
257017290;2021-01-08 08:32:00;0.1;331.1;347.0;0;;5.29124;60.2235
257017290;2021-01-08 08:33:00;0.0;331.0;348.0;0;;5.291268;60.223583
257017290;2021-01-08 08:34:00;0.0;331.0;348.0;0;;5.291246;60.22352
257017290;2021-01-08 08:35:00;0.0;331.0;348.0;0;;5.291259;60.223571
257017290;2021-01-08 08:36:00;0.0;331.0;348.0;0;;5.291235;60.223547
257017290;2021-01-08 08:37:00;0.0;331.0;348.0;0;;5.291204;60.223558
257017290;2021-01-08 08:38:00;0.0;331.0;348.0;0;;5.291245;60.22357
257017290;2021-01-08 08:39:00;0.0;331.0;348.0;0;;5.291259;60.2236
257017290;2021-01-08 08:40:00;0.1;331.0;348.0;0;;5.29122;60.2236
257017290;2021-01-08 08:41:00;6.4;159.8;162.0;0;;5.29195;60.2228
257020500;2021-01-08 08:22:00;;;;;;5.18813;60.8
257020500;2021-01-08 08:23:00;;;;;;5.18813;60.8
257020500;2021-01-08 08:24:00;;;;;;5.18813;60.8
