mmsi;lon;lat;date_time_utc;sog;cog;true_heading;nav_status;message_nr;source
235068085;8.67247;57.4794;2018-01-17 06:26:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:27:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:28:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:29:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:30:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:31:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:32:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:33:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:34:00;;;;;;
235068085;8.67247;57.4794;2018-01-17 06:35:00;;;;;;
235068085;8.675677;57.481614;2018-01-17 06:36:00;19.2;38.0;37.0;0;1;g
235068085;8.68162;57.48568;2018-01-17 06:37:00;19.1;37.8;38.0;0;1;g
235068085;8.687784;57.489992;2018-01-17 06:38:00;19.2;37.0;37.0;0;1;g
235068085;8.69392;57.494167;2018-01-17 06:39:00;19.3;37.7;37.0;0;1;g
235068085;8.700246;57.498471;2018-01-17 06:40:00;19.3;38.0;38.0;0;1;g
235068085;8.706989;57.502214;2018-01-17 06:41:00;19.2;47.3;50.0;0;1;g
235068085;8.715252;57.504973;2018-01-17 06:42:00;19.1;58.7;64.0;0;3;g
235068085;8.724136;57.507278;2018-01-17 06:43:00;19.3;65.1;68.0;0;1;g
235068085;8.733497;57.509529;2018-01-17 06:44:00;19.5;66.0;68.0;0;1;g
235068085;8.743282;57.511737;2018-01-17 06:45:00;19.6;66.0;69.0;0;1;g
235068085;8.75198;57.513767;2018-01-17 06:46:00;19.7;67.3;69.0;0;1;g
235068085;8.761253;57.515733;2018-01-17 06:47:00;19.6;68.0;70.0;0;1;g
235068085;8.77138;57.517759;2018-01-17 06:48:00;19.7;70.0;72.0;0;1;g
235068085;8.781969;57.519786;2018-01-17 06:49:00;19.5;69.6;72.0;0;1;g
235068085;8.791044;57.521529;2018-01-17 06:50:00;19.4;69.7;72.0;0;1;g
235068085;8.799256;57.52314;2018-01-17 06:51:00;19.4;70.0;72.0;0;1;g
235068085;8.810113;57.5252;2018-01-17 06:52:00;19.1;70.0;72.0;0;1;g
235068085;8.81943;57.527;2018-01-17 06:53:00;19.1;70.0;72.0;0;1;g
235068085;8.827862;57.528717;2018-01-17 06:54:00;19.1;68.2;71.0;0;1;g
235068085;8.838012;57.530727;2018-01-17 06:55:00;19.0;69.1;72.0;0;1;g
235068085;8.84635;57.5324;2018-01-17 06:56:00;19.1;69.0;72.0;0;1;g
235068085;8.8556;57.53422;2018-01-17 06:57:00;19.1;69.0;72.0;0;1;g
235068085;8.865752;57.536454;2018-01-17 06:58:00;19.0;66.9;69.0;0;1;g
235068085;8.873229;57.538157;2018-01-17 06:59:00;19.1;65.0;68.0;0;1;g
235068085;8.881904;57.54034;2018-01-17 07:00:00;19.1;63.2;66.0;0;1;g
235068085;8.892387;57.543086;2018-01-17 07:01:00;19.1;64.0;66.0;0;1;g
235068085;8.89975;57.54494;2018-01-17 07:02:00;19.1;64.0;66.0;0;1;g
235068085;8.908849;57.547257;2018-01-17 07:03:00;19.1;63.7;66.0;0;1;g
235068085;8.918644;57.54984;2018-01-17 07:04:00;19.4;64.0;65.0;0;1;g
235068085;8.9269;57.551933;2018-01-17 07:05:00;19.2;64.0;66.0;0;1;g
235068085;8.936977;57.554433;2018-01-17 07:06:00;19.1;65.0;67.0;0;1;g
311816000;8.71316;57.5011;2018-01-17 06:26:00;;;;;;
311816000;8.716139;57.501979;2018-01-17 06:27:00;10.3;59.9;59.0;0;1;g
311816000;8.72059;57.5034;2018-01-17 06:28:00;10.3;59.2;59.0;0;1;g
311816000;8.725304;57.504875;2018-01-17 06:29:00;10.4;59.2;59.0;0;1;g
311816000;8.729832;57.50636;2018-01-17 06:30:00;10.3;59.4;60.0;0;1;g
311816000;8.734505;57.507875;2018-01-17 06:31:00;10.4;59.5;60.0;0;1;g
311816000;8.73911;57.509382;2018-01-17 06:32:00;10.4;59.1;60.0;0;1;g
311816000;8.743761;57.510775;2018-01-17 06:33:00;10.4;60.1;60.0;0;1;g
311816000;8.748259;57.512156;2018-01-17 06:34:00;10.3;60.3;60.0;0;1;g
311816000;8.752921;57.513578;2018-01-17 06:35:00;10.3;60.1;60.0;0;1;g
311816000;8.757485;57.514975;2018-01-17 06:36:00;10.2;60.5;60.0;0;1;g
311816000;8.76209;57.51636;2018-01-17 06:37:00;10.1;61.1;60.0;0;1;g
311816000;8.766605;57.517688;2018-01-17 06:38:00;10.0;60.0;59.0;0;1;g
311816000;8.771004;57.51908;2018-01-17 06:39:00;9.9;59.4;59.0;0;1;g
311816000;8.775462;57.520467;2018-01-17 06:40:00;9.8;60.4;59.0;0;1;g
311816000;8.779812;57.521847;2018-01-17 06:41:00;9.7;60.1;59.0;0;1;g
311816000;8.784003;57.523133;2018-01-17 06:42:00;9.6;60.0;59.0;0;1;g
311816000;8.7883;57.524525;2018-01-17 06:43:00;9.5;59.3;59.0;0;1;g
311816000;8.792494;57.52593;2018-01-17 06:44:00;9.5;58.7;59.0;0;1;g
311816000;8.796682;57.52728;2018-01-17 06:45:00;9.5;58.5;59.0;0;1;g
311816000;8.80087;57.52863;2018-01-17 06:46:00;9.4;58.3;58.0;0;1;g
311816000;8.805047;57.53;2018-01-17 06:47:00;9.4;58.0;57.0;0;1;g
311816000;8.80919;57.531425;2018-01-17 06:48:00;9.5;56.8;57.0;0;1;g
311816000;8.813283;57.53291;2018-01-17 06:49:00;9.4;56.2;57.0;0;1;g
311816000;8.817363;57.53444;2018-01-17 06:50:00;9.4;55.9;58.0;0;1;g
311816000;8.821459;57.535869;2018-01-17 06:51:00;9.5;56.2;58.0;0;1;g
311816000;8.825455;57.537363;2018-01-17 06:52:00;9.5;56.3;58.0;0;1;g
311816000;8.829529;57.538763;2018-01-17 06:53:00;9.5;56.5;58.0;0;1;g
311816000;8.833648;57.540179;2018-01-17 06:54:00;9.5;56.4;58.0;0;1;g
311816000;8.837784;57.541639;2018-01-17 06:55:00;9.6;56.1;57.0;0;1;g
311816000;8.841894;57.543189;2018-01-17 06:56:00;9.7;56.0;57.0;0;1;g
311816000;8.846023;57.544722;2018-01-17 06:57:00;9.7;56.0;57.0;0;1;g
311816000;8.850197;57.546213;2018-01-17 06:58:00;9.7;55.9;57.0;0;1;g
311816000;8.85437;57.547704;2018-01-17 06:59:00;9.7;55.8;58.0;0;1;g
311816000;8.858616;57.54919;2018-01-17 07:00:00;9.7;56.4;58.0;0;1;g
311816000;8.862766;57.550656;2018-01-17 07:01:00;9.7;56.4;58.0;0;1;g
311816000;8.867049;57.552178;2018-01-17 07:02:00;9.8;56.7;58.0;0;1;g
311816000;8.871323;57.55365;2018-01-17 07:03:00;9.8;57.4;58.0;0;1;g
311816000;8.875452;57.555156;2018-01-17 07:04:00;9.8;57.1;58.0;0;1;g
311816000;8.879718;57.556656;2018-01-17 07:05:00;9.8;57.2;58.0;0;1;g
311816000;8.883947;57.558133;2018-01-17 07:06:00;9.8;56.5;58.0;0;1;g
