mmsi,time,traj_id,x,y,prob
219164000,-3480,0,50641.6,-38034.6,0.244427
219164000,-3480,0,50457.2,-38333.2,0.244427
219164000,-3480,0,50272.7,-38631.8,0.244427
219164000,-3480,1,50704.6,-38065.3,0.240447
219164000,-3480,1,50550.9,-38380.8,0.240447
219164000,-3480,1,50381.6,-38688.3,0.240447
219164000,-3480,2,50586,-37992,0.241977
219164000,-3480,2,50372.6,-38270.7,0.241977
219164000,-3480,2,50173.5,-38559.8,0.241977
219164000,-3480,3,50772.5,-38082.8,0.0538475
219164000,-3480,3,50651,-38412.2,0.0538475
219164000,-3480,3,50497.3,-38727.7,0.0538475
219164000,-3480,4,50539.9,-37939.2,0.103764
219164000,-3480,4,50299.8,-38195.2,0.103764
219164000,-3480,4,50086.5,-38473.9,0.103764
219164000,-3480,5,50842.5,-38086.6,0.0165339
219164000,-3480,5,50754.5,-38426.4,0.0165339
219164000,-3480,5,50616.8,-38749.2,0.0165339
219164000,-3480,6,50505.2,-37878.3,0.0990036
219164000,-3480,6,50240.8,-38109.1,0.0990036
219164000,-3480,6,50013.8,-38376.8,0.0990036
230091950,-3480,0,49654.6,-46516,0.247411
230091950,-3480,0,49656.2,-46357,0.247411
230091950,-3480,0,49657.9,-46198,0.247411
230091950,-3480,1,49623,-46518.9,0.246774
230091950,-3480,1,49608.7,-46360.5,0.246774
230091950,-3480,1,49602.5,-46201.6,0.246774
230091950,-3480,2,49686.1,-46519.5,0.23344
230091950,-3480,2,49703.7,-46361.5,0.23344
230091950,-3480,2,49713.3,-46202.8,0.23344
230091950,-3480,3,49592.5,-46527.9,0.049816
230091950,-3480,3,49562.6,-46371.8,0.049816
230091950,-3480,3,49548.4,-46213.4,0.049816
230091950,-3480,4,49716.4,-46529.2,0.0953853
230091950,-3480,4,49749.6,-46373.7,0.0953853
230091950,-3480,4,49767.1,-46215.7,0.0953853
230091950,-3480,5,49564.5,-46542.8,0.0405393
230091950,-3480,5,49519.1,-46390.5,0.0405393
230091950,-3480,5,49497,-46233,0.0405393
230091950,-3480,6,49744.1,-46544.7,0.0866344
230091950,-3480,6,49792.6,-46393.3,0.0866344
230091950,-3480,6,49818,-46236.4,0.0866344
219164000,-3420,0,50446.2,-38333,0.240255
