mmsi,time,traj_id,x,y,prob
538005655,900,2,18209.4,14697.4,0.163574
538005655,900,2,18382.2,14946.3,0.163574
538005655,900,3,17863.7,14536.4,0.149453
538005655,900,3,17969.5,14820.3,0.149453
538005655,900,3,18103.1,15092.2,0.149453
538005655,900,4,18064,14411.7,0.152413
538005655,900,4,18272.1,14632,0.152413
538005655,900,4,18457,14871.9,0.152413
538005655,900,5,17803.3,14539.8,0.150269
538005655,900,5,17880.2,14832.9,0.150269
538005655,900,5,18000.1,15111.1,0.150269
538005655,900,6,18093.8,14359,0.0682262
538005655,900,6,18322.8,14557.4,0.0682262
538005655,900,6,18519.5,14787.8,0.0682262
375219000,960,0,17836.1,13836.2,0.156328
375219000,960,0,17617.4,13648.8,0.156328
375219000,960,0,17398.7,13461.4,0.156328
375219000,960,1,17877.7,13796.5,0.15582
375219000,960,1,17678.8,13588.2,0.15582
375219000,960,1,17469.8,13390.1,0.15582
375219000,960,2,17803.2,13883.4,0.143428
375219000,960,2,17566.9,13718.8,0.143428
375219000,960,2,17339.1,13542.5,0.143428
375219000,960,3,17926.3,13765.9,0.149582
375219000,960,3,17749.2,13538.8,0.149582
375219000,960,3,17550.4,13330.4,0.149582
375219000,960,4,17780.4,13936.2,0.132133
375219000,960,4,17528.8,13795.9,0.132133
375219000,960,4,17292.5,13631.3,0.132133
375219000,960,5,17980.1,13745.5,0.143944
375219000,960,5,17826.6,13501.8,0.143944
375219000,960,5,17638.4,13283.8,0.143944
375219000,960,6,17768.4,13992.5,0.118766
375219000,960,6,17504.2,13878,0.118766
375219000,960,6,17259.9,13725.4,0.118766
538005655,960,0,18179.9,14739.7,0.153051
538005655,960,0,18363.5,14980.8,0.153051
538005655,960,0,18547.1,15221.8,0.153051
538005655,960,1,18128.4,14771.4,0.151885
538005655,960,1,18287,15029.6,0.151885
538005655,960,1,18458.3,15279.5,0.151885
538005655,960,2,18224.1,14698.4,0.150651
538005655,960,2,18430.9,14919.9,0.150651
538005655,960,2,18626.3,15151.5,0.150651
538005655,960,3,18071.6,14792.2,0.145496
538005655,960,3,18203.6,15064.9,0.145496
538005655,960,3,18362.3,15323.1,0.145496
538005655,960,4,18259.3,14649.2,0.134568
538005655,960,4,18487.1,14848.9,0.134568
538005655,960,4,18693.9,15070.4,0.134568
538005655,960,5,18011.8,14801.3,0.139986
538005655,960,5,18115.9,15085.8,0.139986
538005655,960,5,18261.5,15351.6,0.139986
538005655,960,6,18283.9,14593.9,0.124362
538005655,960,6,18530.6,14769.9,0.124362
538005655,960,6,18748.2,14980.8,0.124362
375219000,1020,0,17650.5,13642.9,0.149047
375219000,1020,0,17446.5,13452.7,0.149047
375219000,1020,0,17242.5,13262.4,0.149047
375219000,1020,1,17692.4,13606.2,0.147646
375219000,1020,1,17508.4,13396.5,0.147646
375219000,1020,1,17314.1,13196.3,0.147646
375219000,1020,2,17616.8,13687.3,0.147567
375219000,1020,2,17394.8,13518.3,0.147567
375219000,1020,2,17181.5,13338.5,0.147567
375219000,1020,3,17740.8,13578.5,0.142551
375219000,1020,3,17578.6,13351.5,0.142551
375219000,1020,3,17394.5,13141.8,0.142551
375219000,1020,4,17592.6,13737.4,0.14252
375219000,1020,4,17354.8,13591.5,0.14252
375219000,1020,4,17132.8,13422.5,0.14252
375219000,1020,5,17793.6,13561,0.135382
375219000,1020,5,17654.9,13318.9,0.135382
375219000,1020,5,17481.6,13100.3,0.135382
375219000,1020,6,17578.7,13791.4,0.135288
375219000,1020,6,17327.6,13669.9,0.135288
375219000,1020,6,17097.4,13512.3,0.135288
538005655,1020,0,18376.9,14961.2,0.149096
538005655,1020,0,18566.3,15190.1,0.149096
538005655,1020,0,18755.6,15418.9,0.149096
538005655,1020,1,18327.7,14994.3,0.1475
538005655,1020,1,18493.2,15240.9,0.1475
538005655,1020,1,18670.9,15478.9,0.1475
538005655,1020,2,18418.6,14919.1,0.147634
538005655,1020,2,18629.8,15127.9,0.147634
538005655,1020,2,18830.4,15347,0.147634
538005655,1020,3,18272.9,15016.9,0.142443
538005655,1020,3,18413,15278.8,0.142443
538005655,1020,3,18578.5,15525.4,0.142443
538005655,1020,4,18451.1,14869.4,0.142464
538005655,1020,4,18682.1,15056.1,0.142464
538005655,1020,4,18893.3,15264.9,0.142464
538005655,1020,5,18214.7,15028.2,0.135431
538005655,1020,5,18327.9,15302.7,0.135431
538005655,1020,5,18480.9,15557.3,0.135431
538005655,1020,6,18473.1,14814.4,0.135431
538005655,1020,6,18721.6,14977,0.135431
538005655,1020,6,18943,15175,0.135431
375219000,1080,0,17414,13424.1,0.149088
375219000,1080,0,17197.4,13220.7,0.149088
375219000,1080,0,16980.9,13017.4,0.149088
375219000,1080,1,17458.7,13385.1,0.147659
375219000,1080,1,17263.5,13161.2,0.147659
375219000,1080,1,17057.5,12947.3,0.147659
375219000,1080,2,17377.9,13471.1,0.147753
375219000,1080,2,17142.2,13290.4,0.147753
375219000,1080,2,16915.8,13098.2,0.147753
375219000,1080,3,17510.2,13355.8,0.142546
375219000,1080,3,17338.4,13113.5,0.142546
375219000,1080,3,17143.3,12889.6,0.142546
375219000,1080,4,17351.9,13524.4,0.142396
375219000,1080,4,17099.3,13368.2,0.142396
375219000,1080,4,16863.6,13187.5,0.142396
375219000,1080,5,17566.6,13337.3,0.135275
375219000,1080,5,17419.8,13079.1,0.135275
375219000,1080,5,17236.1,12845.7,0.135275
375219000,1080,6,17337,13581.8,0.135284
375219000,1080,6,17070.1,13451.6,0.135284
375219000,1080,6,16825.6,13282.9,0.135284
538005655,1080,0,18584,15172.5,0.149136
538005655,1080,0,18781,15386.7,0.149136
538005655,1080,0,18978,15600.9,0.149136
538005655,1080,1,18537.5,15207.3,0.147645
538005655,1080,1,18712.1,15440.1,0.147645
538005655,1080,1,18898.2,15663.9,0.147645
538005655,1080,2,18622.7,15129.1,0.147599
538005655,1080,2,18840,15322.5,0.147599
538005655,1080,2,19047.5,15526.6,0.147599
538005655,1080,3,18485.1,15232.3,0.142508
538005655,1080,3,18635.6,15481.3,0.142508
538005655,1080,3,18810.2,15714.1,0.142508
538005655,1080,4,18651.9,15078.9,0.142533
538005655,1080,4,18887.5,15249.7,0.142533
538005655,1080,4,19104.9,15443.1,0.142533
538005655,1080,5,18428.7,15246.3,0.135273
538005655,1080,5,18553.5,15509.1,0.135273
538005655,1080,5,18716.3,15750.4,0.135273
538005655,1080,6,18670.6,15023.8,0.135305
538005655,1080,6,18922,15170.3,0.135305
538005655,1080,6,19148.8,15352.6,0.135305
375219000,1140,0,17189.5,13186.9,0.149167
375219000,1140,0,16978.8,12973.3,0.149167
375219000,1140,0,16768.2,12759.7,0.149167
375219000,1140,1,17236.1,13149.3,0.14743
375219000,1140,1,17047.9,12915.7,0.14743
375219000,1140,1,16848.1,12691.8,0.14743
375219000,1140,2,17151.2,13233,0.147648
375219000,1140,2,16920.3,13041.5,0.147648
375219000,1140,2,16699.3,12838.7,0.147648
375219000,1140,3,17289.3,13121.7,0.142456
375219000,1140,3,17125.3,12870.5,0.142456
375219000,1140,3,16937,12636.9,0.142456
375219000,1140,4,17122.9,13285.8,0.142514
375219000,1140,4,16874,13118.3,0.142514
375219000,1140,4,16643.1,12926.8,0.142514
375219000,1140,5,17346.9,13105.2,0.135419
375219000,1140,5,17208.8,12838.9,0.135419
375219000,1140,5,17032.4,12596.2,0.135419
375219000,1140,6,17105.7,13343.1,0.135366
375219000,1140,6,16841.3,13201.3,0.135366
375219000,1140,6,16601.1,13021.6,0.135366
