mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258265000,21428.6,12199.2,3.86067,6.9,600,0.978464,0,0,0.989072,8.78321e-06,0.186281,0.0213169,0.978683,0.0856095,0.115481,0.0869671,0.0845739,0.627369,0.0505949,0.909429,0.0399762,0.792794,0.568866,0,1,1,1,0.797552,0.193311,0,0.0213169,-0,-0,-131.646,-130,7.2,7.2,
258217000,18818.9,7809.04,4.94277,6,660,0.979799,0,0,0.99019,2.22477e-05,0,0,1,0.0645549,0.105829,0.0644379,0.703326,0.0618527,0.0492929,0.902661,0.0480464,0.852892,0.681973,0,1,1,1,0.829733,0.74141,0,0,-0,-0,-70,-70,6.60294,6.48,
258265000,21268.6,12060.3,4.05964,6.3,660,0.978693,0,0,0.983197,1.31797e-05,0.157246,0.0593969,0.940603,0.112548,0.132433,0.119314,0.109252,0.526452,0.0504114,0.90821,0.0413786,0.736939,0.433275,0,1,1,1,0.748252,0.242199,0,0.0593969,-0,-0,-124.682,-120,6.79196,6.48,
258217000,18863.1,7626.37,4.97942,6,720,0.980081,0,0,0.98975,5.63823e-06,0,0,1,0.0554705,0.0975559,0.0587176,0.730438,0.057818,0.0503982,0.898172,0.0514298,0.873188,0.715331,0,1,1,1,0.843726,0.757397,0,0,-0,-0,-70,-70,6.6013,6.48,
258265000,21201.3,11883,4.34238,6.3,720,0.980875,0,0,0.97245,2.84551e-05,0.0218583,0.102011,0.897989,0.171452,0.173824,0.169928,0.171519,0.313277,0.0498627,0.902816,0.0473213,0.625476,0.148793,0,1,1,1,0.826176,0.358033,0,0.102011,-0,-0,-112.824,-110,6.54879,6.48,
258217000,18909.8,7455.84,4.9707,5.8,780,0.979941,0,0,0.98981,1.57975e-05,0,0,1,0.0333622,0.0756906,0.0358001,0.8204,0.0347468,0.0491279,0.900484,0.050388,0.894761,0.827025,0,1,1,1,0.888509,0.818793,0,0,-0,-0,-70,-70,6.60163,6.48,
258265000,21122,11698.7,4.33191,6.4,780,0.97974,0,0,0.96985,6.14218e-05,0.0242007,0.14491,0.85509,0.127887,0.12424,0.120973,0.119673,0.507227,0.0511514,0.900817,0.048032,0.634291,0.391403,0,1,1,1,0.87576,0.271162,0,0.14491,-0,-0,-115.427,-110,6.55856,6.48,
258217000,18955.2,7277.62,4.9515,5.7,840,0.979126,0,0,0.99005,9.16536e-06,0,0,0.981661,0.026502,0.0718789,0.0278215,0.8458,0.0279972,0.0524293,0.896028,0.0515428,0.915683,0.861849,0,1,1,1,0.972179,0.832034,0,0,-0.0183392,-0,-70,-70,6.47135,6.48,
258265000,21066.5,11509,4.47153,6.5,840,0.981239,0,0,0.951301,5.64133e-05,0.0334453,0.213296,0.786704,0.136783,0.146383,0.135317,0.134893,0.446624,0.0513902,0.90212,0.0464897,0.585052,0.318946,0,1,1,1,0.853617,0.28999,0,0.213296,-0,-0,-107.172,-100,7.07327,7.2,
258217000,18969.1,7110.7,4.49771,5.6,900,0.978428,0,0,0.982084,3.0649e-05,0.00922409,0,0.990776,0.187689,0.206909,0.199832,0.210116,0.195454,0.0540826,0.896122,0.0497955,1,0.00922409,0,1,1,1,0.800168,0.40213,0.00922409,0,-0.00150939,-0,-99.7233,-100,5.76881,5.76,
