mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
710428000,2940,25,7,11,29,29,17,29,29,29,port,
258096730,3000,30,11,11,29,28,11,28,11,29,starboard,
710428000,3000,24,7,11,29,28,11,29,29,29,port,
258096730,3060,30,11,11,29,20,8,20,8,29,starboard,
710428000,3060,24,7,11,29,20,8,29,29,29,port,
258096730,3120,30,11,10,29,29,12,29,12,29,starboard,
710428000,3120,24,7,10,29,29,12,29,29,29,port,
258096730,3180,30,10,10,29,18,7,18,7,29,starboard,
710428000,3180,25,7,10,29,18,7,29,29,29,port,
258096730,3240,29,10,9,29,29,12,29,12,29,starboard,
710428000,3240,24,7,9,29,29,12,29,29,29,port,
258096730,3300,30,10,9,29,21,8,21,8,29,starboard,
710428000,3300,24,7,9,29,21,8,29,29,29,port,
258096730,3360,29,10,9,29,23,9,23,9,29,starboard,
710428000,3360,24,7,9,29,23,9,29,29,29,port,
258096730,3420,30,11,8,29,10,4,11,4,29,starboard,
710428000,3420,24,7,8,29,10,4,29,29,29,port,
258096730,3480,30,11,8,29,27,10,27,10,29,starboard,
710428000,3480,24,7,8,29,27,10,29,29,29,port,
258096730,3540,29,11,7,29,28,11,28,11,29,starboard,
710428000,3540,24,7,7,29,28,11,29,29,29,port,
258096730,3600,29,12,7,24,29,14,29,14,29,starboard,
710428000,3600,24,7,7,24,29,14,29,29,29,port,
258096730,3660,30,11,7,25,20,8,20,8,29,starboard,
710428000,3660,24,8,7,25,20,8,29,29,29,port,
258096730,3720,30,11,6,24,16,6,16,6,29,starboard,
710428000,3720,24,8,6,24,16,6,29,29,29,port,
258096730,3780,30,12,6,20,24,9,25,10,29,starboard,
710428000,3780,24,8,6,20,24,9,29,29,29,port,
258096730,3840,29,11,5,22,27,10,27,10,29,starboard,
710428000,3840,24,7,5,22,27,10,29,29,29,port,
258096730,3900,30,12,5,16,29,12,29,12,29,starboard,
710428000,3900,24,7,5,16,29,12,29,29,29,port,
258096730,3960,30,11,5,17,21,8,22,8,29,starboard,
710428000,3960,24,7,5,17,21,8,29,29,29,port,
258096730,4020,30,11,4,16,25,10,26,10,29,starboard,
710428000,4020,25,7,4,16,25,10,29,29,29,port,
258096730,4080,30,10,4,14,22,8,22,9,29,starboard,
710428000,4080,24,7,4,14,22,8,29,29,29,port,
258096730,4140,29,11,3,13,29,12,29,12,29,starboard,
710428000,4140,25,7,3,13,29,12,29,29,29,port,
258096730,4200,30,11,3,11,29,11,29,11,29,starboard,
710428000,4200,24,7,3,11,29,11,29,29,29,port,
258096730,4260,29,11,3,9,29,12,29,12,29,starboard,
710428000,4260,24,7,3,9,29,12,29,29,29,port,
258096730,4320,30,12,2,6,29,13,29,13,29,starboard,
710428000,4320,24,7,2,6,29,13,29,29,29,port,
258096730,4380,30,12,2,5,29,13,29,13,29,starboard,
710428000,4380,24,6,2,5,29,13,29,29,24,port,
258096730,4440,29,12,2,3,29,13,29,13,29,starboard,
710428000,4440,24,7,2,3,29,13,29,29,16,port,
258096730,4500,30,10,2,3,29,12,29,12,29,starboard,
710428000,4500,24,6,2,3,29,12,29,29,10,port,
258096730,4560,30,11,2,1,29,12,29,12,27,starboard,
710428000,4560,24,6,2,1,29,12,29,29,4,port,
258096730,4620,30,11,2,0,29,12,29,29,24,starboard,
710428000,4620,24,6,2,0,29,12,29,29,2,starboard,
