mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
261146000,29000.4,3789.39,6840,0.979714,0.989848,1,0,1,0,0,0,0.0499462,0.899709,0.0503449,0.999375
211237730,27540.9,-1258.92,6900,0.569297,0.579707,0.583691,1,0,0,0,0,0.00152132,0.548226,0.450253,0.99854
261146000,28913.9,3703.16,6900,0.0251336,0.0253892,0.0256432,0,1,0,0,0,0.00139228,0.997332,0.0012755,0.998881
211237730,27462.2,-1148.72,6960,0.988971,0.993589,1,1,0,0,0,0,0.956513,0.0164132,0.0270742,1
261146000,28799.9,3635.63,6960,0.979736,0.990055,1,0,1,0,0,0,0.0458869,0.903998,0.0501152,0.998799
211237730,27390.2,-1039.88,7020,0.792371,0.875797,1,1,0,0,0,0,0.0524651,0.25593,0.691605,0.986696
261146000,28687,3571.5,7020,0.979741,0.989908,1,0,1,0,0,0,0.0440737,0.906157,0.0497697,0.96858
211237730,27300.9,-926.636,7080,0.869808,0.86241,1,1,0,0,0,0,0.0283875,0.214513,0.757099,0.992379
261146000,28584.8,3488.78,7080,0.98021,0.989979,1,0,1,0,0,0,0.0504017,0.900192,0.0494063,0.979205
211237730,27219.1,-808.738,7140,0.833922,0.789809,1,1,0,0,0,0,0.000149105,0.354172,0.645679,0.989357
261146000,28480.4,3418.56,7140,0.980481,0.990316,1,0,1,0,0,0,0.0589698,0.890986,0.0500445,0.978926
211237730,27122.7,-692.506,7200,0.73205,0.774154,1,1,0,0,0,0,0.000146172,0.475251,0.524603,0.999819
261146000,28373.6,3344.53,7200,0.979968,0.990078,1,0,1,0,0,0,0.0558791,0.893998,0.0501233,0.984852
211237730,27037.2,-566.381,7260,0.735179,0.904265,1,1,0,0,0,0,0.026148,0.310572,0.66328,0.999848
261146000,28255.4,3281.75,7260,0.979642,0.989775,1,0,1,0,0,0,0.0513905,0.898579,0.0500301,0.985751
211237730,26950.6,-446.563,7320,0.609945,0.990311,1,1,0,0,0,0,0.0568585,0.318791,0.62435,1
261146000,28142.4,3213.91,7320,0.979411,0.989833,1,0,1,0,0,0,0.0273834,0.923132,0.049485,0.996306
211237730,26871.7,-337.519,7380,0.72779,0.989676,1,1,0,0,0,0,0.0287989,0.228715,0.742486,1
261146000,28018.4,3152.74,7380,0.980198,0.990253,1,0,1,0,0,0,0.0521837,0.901317,0.0464994,0.995894
211237730,26799.8,-235.976,7440,0.879204,0.523049,1,1,0,0,0,0,8.80951e-05,0.587621,0.412291,0.999993
261146000,27908.8,3081.97,7440,0.980278,0.989925,1,0,1,0,0,0,0.0509751,0.901868,0.0471566,0.99339
211237730,26726.9,-130.557,7500,0.0383398,0.952493,1,1,0,0,0,0,0.0914046,0.826175,0.08242,1
261146000,27793.7,3014.29,7500,0.980945,0.990752,1,0,1,0,0,0,0.0521379,0.9002,0.0476625,0.99733
211237730,26643.9,-25.9095,7560,0.867674,0.997923,1,1,0,0,0,0,0.00982081,0.117729,0.87245,0.999945
261146000,27696.4,2942.38,7560,0.980021,0.98989,1,0,1,0,0,0,0.0360483,0.915619,0.0483329,0.980708
211237730,26571,94.9437,7620,0.00448262,0.988897,1,1,0,0,0,0,0.000292077,0.960481,0.0392268,0.999955
261146000,27593.1,2878.2,7620,0.979372,0.989681,1,0,1,0,0,0,0.082841,0.854476,0.0626828,0.988198
211237730,26493.1,207.403,7680,0,0.990492,1,1,0,0,0,0,0.290053,0.665152,0.0447951,0.99922
261146000,27494.7,2806.99,7680,0.981025,0.990407,1,0,1,0,0,0,0.0351307,0.903827,0.061042,0.953678
211237730,26415.1,337.379,7740,0.0759282,0.914529,1,1,0,0,0,0,0.000551491,0.873399,0.126049,1
261146000,27375.1,2746.81,7740,0.976239,0.988464,1,0,1,0,0,0,0.00116075,0.968627,0.0302124,0.999979
211237730,26314.9,450.028,7800,0,0.991034,1,1,0,0,0,0,0.00051583,0.952062,0.0474225,0.999939
261146000,27260.7,2679.11,7800,0.97774,0.989071,1,0,1,0,0,0,0.00156004,0.956131,0.0423087,0.999813
211237730,26215.4,577.873,7860,0,0.985018,1,1,0,0,0,0,0.000662767,0.921422,0.0779157,0.999563
261146000,27150.4,2620.05,7860,0.980659,0.990117,1,0,1,0,0,0,0.00134071,0.948752,0.0499074,0.999692
211237730,26131.5,708.939,7920,0,0.988979,1,1,0,0,0,0,0.000566081,0.938771,0.0606626,0.864288
261146000,27038.1,2559.31,7920,0.97756,0.989082,1,0,1,0,0,0,0.00151549,0.970057,0.0284271,0.999053
211237730,26037.3,843.705,7980,0,0.991925,1,1,0,0,0,0,0.00053548,0.960032,0.0394324,0.999871
261146000,26929.7,2496.31,7980,0.985506,0.992303,1,0,1,0,0,0,0.23471,0.76443,0.000859227,0.999819
211237730,25947.5,975.498,8040,0,0.994021,1,1,0,0,0,0,0.141416,0.828144,0.0304403,0.999326
261146000,26821,2425.74,8040,0.978721,0.989147,1,0,1,0,0,0,0.00245119,0.995994,0.00155487,0.924723
211237730,25848,1095.03,8100,0,0.990355,1,1,0,0,0,0,0.000520297,0.951825,0.0476543,0.999389
261146000,26726,2365.34,8100,0.97603,0.986451,1,0,1,0,0,0,0.0021846,0.995982,0.00183313,0.999101
211237730,25771.3,1223.67,8160,0,0.988563,1,1,0,0,0,0,0.000670882,0.936631,0.0626978,0.999546
261146000,26625.6,2302.38,8160,0.992766,0.996758,1,0,1,0,0,0,0.807251,0.0958598,0.0968889,0.999838
211237730,25681.2,1352.03,8220,0,0.985002,1,1,0,0,0,0,0.000304485,0.924656,0.0750396,0.999971
261146000,26512.2,2244.91,8220,0.98223,0.993302,1,0,1,0,0,0,0.000865417,0.997695,0.0014394,0.99963
211237730,25604.4,1484.67,8280,0,0.991344,1,1,0,0,0,0,0.106026,0.851023,0.0429511,0.99967
261146000,26405.2,2188.38,8280,0.987087,0.994083,1,0,1,0,0,0,0.00049106,0.998871,0.000637873,0.999831
211237730,25504.2,1623.82,8340,0,0.989102,1,1,0,0,0,0,0.000781486,0.951322,0.0478965,0.999576
261146000,26290.8,2124.41,8340,0.983911,0.988095,1,0,1,0,0,0,0.000864724,0.998085,0.00105035,0.999849
211237730,25437.4,1758.8,8400,0,0.982682,1,1,0,0,0,0,0.00113724,0.913581,0.0852821,0.998529
261146000,26179.4,2057.93,8400,0.415466,0.578544,1,0,1,0,0,0,0.0299122,0.888353,0.0817348,0.992552
211237730,25333.6,1888.73,8460,0,0.986739,1,1,0,0,0,0,0.000663404,0.929918,0.0694186,0.998818
261146000,26068,1988.88,8460,0.352677,0.640858,1,0,1,0,0,0,0.0389938,0.779934,0.181072,0.991304
211237730,25235.1,2027.49,8520,0,0.983767,1,1,0,0,0,0,0.000865215,0.911343,0.0877918,0.998605
261146000,25949.8,1924.01,8520,0.373785,0.619845,1,0,1,0,0,0,0.0277787,0.93495,0.0372713,0.992249
211237730,25132.9,2175.67,8580,0,0.991495,1,1,0,0,0,0,0.000332408,0.954591,0.0450768,0.999388
261146000,25832.8,1853.65,8580,0.231577,0.76098,1,0,1,0,0,0,0.0759133,0.804928,0.119158,0.991192
211237730,25012.5,2315.58,8640,0,0.991366,1,1,0,0,0,0,0.000441523,0.956371,0.0431878,0.999513
261146000,25733.7,1783.1,8640,0.406444,0.587732,1,0,1,0,0,0,0.0215485,0.947938,0.0305133,0.994265
211237730,24922.7,2469.01,8700,0,0.992073,1,1,0,0,0,0,0.000292589,0.962806,0.0369011,0.999359
261146000,25644.7,1713.43,8700,0.176523,0.815314,1,0,1,0,0,0,0.0476715,0.915036,0.0372927,0.988887
211237730,24812.2,2606.43,8760,0,0.990777,1,1,0,0,0,0,0.000520844,0.949448,0.0500309,0.999534
261146000,25548.4,1640.07,8760,0.273833,0.71889,1,0,1,0,0,0,0.0312695,0.879106,0.0896244,0.99598
211237730,24716.9,2749.81,8820,0,0.98893,1,1,0,0,0,0,0.000745674,0.94947,0.0497838,0.864318
261146000,25436,1568.5,8820,0.266973,0.725687,1,0,1,0,0,0,0.0335558,0.930855,0.0355896,0.984734
211237730,24612,2889.14,8880,0,0.993712,1,1,0,0,0,0,0.0929023,0.874769,0.0323289,0.998802
261146000,25314.1,1515.34,8880,0.347731,0.645872,1,0,1,0,0,0,0.0473673,0.923662,0.0289708,0.980608
211237730,24511,3029.62,8940,0,0.986818,1,1,0,0,0,0,0.160883,0.780673,0.0584442,0.835878
261146000,25188,1469.87,8940,0.35863,0.63519,1,0,1,0,0,0,0.0407488,0.849181,0.11007,0.971869
211237730,24421.1,3160.14,9000,0,0.98487,1,1,0,0,0,0,0.000668134,0.914932,0.0844003,0.99877
261146000,25066.1,1399.66,9000,0.0723387,0.918145,1,0,1,0,0,0,0.027879,0.919202,0.0529188,0.989782
211237730,24322.1,3275.72,9060,0,0.98988,1,1,0,0,0,0,0.000685723,0.944713,0.0546013,0.99608
261146000,24955.8,1340.23,9060,0.437357,0.55688,1,0,1,0,0,0,0.0233337,0.950381,0.0262849,0.969164
211237730,24244.8,3389.85,9120,0,0.985426,1,1,0,0,0,0,0.000748817,0.918483,0.0807681,0.990607
261146000,24833.6,1289.98,9120,0.381333,0.612551,1,0,1,0,0,0,0.0169394,0.914862,0.0681986,0.940679
211237730,24167,3495.64,9180,0,0.988816,1,1,0,0,0,0,0.000397242,0.944472,0.0551303,0.836848
261146000,24720.4,1228.99,9180,0.278191,0.714552,1,0,1,0,0,0,0.0441678,0.926345,0.0294873,0.973189
211237730,24099.4,3611.62,9240,0,0.991911,1,1,0,0,0,0,0.000546952,0.961381,0.038072,0.995927
261146000,24600,1169.5,9240,0.189436,0.802175,1,0,1,0,0,0,0.0178524,0.937777,0.0443707,0.926485
211237730,24011.3,3716.24,9300,0,0.979883,1,1,0,0,0,0,0.00138921,0.885772,0.112839,0.998172
261146000,24486.8,1100.52,9300,0.407422,0.586484,1,0,1,0,0,0,0.0149589,0.909494,0.0755475,0.987636
211237730,23977.1,3831.18,9360,0,0.986103,1,1,0,0,0,0,0.000673978,0.932082,0.0672436,0.996103
261146000,24398.7,1011.69,9360,0.234268,0.758314,1,0,1,0,0,0,0.0407798,0.915753,0.0434673,0.95513
211237730,23935.4,3925.57,9420,0,0.98725,1,1,0,0,0,0,0.00070825,0.933433,0.0658586,0.999943
261146000,24371.6,901.086,9420,0.226677,0.765378,1,0,1,0,0,0,0.0260819,0.934925,0.0389927,0.999459
211237730,23901.5,4010.48,9480,0,0.990793,1,1,0,0,0,0,0.000589422,0.955165,0.0442452,0.999981
261146000,24360.2,783.268,9480,0.30394,0.689076,1,0,1,0,0,0,0.0340544,0.925993,0.0399524,0.999998
