mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-36269.5,-9754.03,660,0.949697,0.97985,0.00508123,0,0,0,1,0,0,0,0,0.0514348,0.927454,0.0211115,0.995226,0.995226
244150372,-36100.1,-6083.01,660,0.94998,0.98056,0.00489,0,0,0,0,1,0,0,0,0.05037,0.92894,0.02069,0.99267,0.99267
219022165,-36434.4,-9510.28,720,0.949814,0.98004,0.00526481,0,0,0,1,0,0,0,0,0.0511116,0.927906,0.020982,0.996643,0.996189
244150372,-36213.6,-6234.63,720,0.949338,0.98057,0.00487639,0,0,0,0,1,0,0,0,0.051652,0.927324,0.0210244,0.993985,0.992315
219022165,-36602.2,-9265.43,780,0.9499,0.98002,0.00470772,0,0,0,1,0,0,0,0,0.0481153,0.932074,0.0198111,0.997971,0.997971
244150372,-36326.6,-6386.09,780,0.950663,0.97961,0.00521848,0,0,0,0,1,0,0,0,0.0523019,0.925339,0.0223588,0.996309,0.995388
219022165,-36765.7,-9025.02,840,0.949462,0.98036,0.00506585,0,0,0,1,0,0,0,0,0.0458547,0.933492,0.0206528,0.998164,0.996121
244150372,-36445.8,-6535.2,840,0.950201,0.98067,0.00549701,0,0,0,0,1,0,0,0,0.0514444,0.926211,0.0223449,0.996268,0.992765
219022165,-36920,-8789.9,900,0.950219,0.98045,0.00533003,0,0,0,1,0,0,0,0,0.0462727,0.932233,0.021494,0.998041,0.996036
244150372,-36557.5,-6680.86,900,0.949317,0.98093,0.00573547,0,0,0,0,1,0,0,0,0.0517203,0.924474,0.0238062,0.996472,0.992351
219022165,-37084.6,-8550.98,960,0.950259,0.9801,0.00507418,0,0,0,1,0,0,0,0,0.0455292,0.933679,0.020792,0.99826,0.988569
244150372,-36653.2,-6840.23,960,0.949281,0.98008,0.00547665,0,1,0,0,1,0,0,0,0.0523505,0.946398,0.00125204,0.996038,0.987805
219022165,-37081.8,-8285.14,1020,0.129984,0.97983,0.126605,1,0,0,1,0,0,0,0,0.0538045,0.923781,0.0224147,0.989608,0.989191
244150372,-36756.9,-6997.21,1020,0.836895,0.862954,0.814152,0,1,0,0,1,0,0,0,0.0506515,0.92473,0.0246185,0.934259,0.934086
219022165,-36958.3,-8022.75,1080,0.115122,0.97817,0.121797,1,0,0,1,0,0,0,0,0.0452113,0.937327,0.0174621,0.999778,0.998494
244150372,-36862.8,-7155.04,1080,0.846537,0.869313,0.824582,0,1,0,0,1,0,0,0,0.0492859,0.932613,0.0181007,0.935593,0.933877
219022165,-36826.7,-7768.89,1140,0.219761,0.97963,0.225668,1,0,0,1,0,0,0,0,0.0394136,0.944434,0.0161526,0.999788,0.998776
244150372,-36964.5,-7312.63,1140,0.845353,0.86849,0.821619,0,1,0,0,1,0,0,0,0.0457367,0.934282,0.0199812,0.929429,0.928358
219022165,-36743.7,-7499.54,1200,0.262683,0.97963,0.268265,1,0,0,1,0,0,0,0,0.147589,0.837681,0.0147293,0.999705,0.999164
244150372,-37062.5,-7470.77,1200,0.843934,0.873824,0.788741,0,1,0,0,1,0,0,0,0.0559935,0.927171,0.0168352,0.899124,0.898566
219022165,-36721.9,-7213.36,1260,0.103236,0.98007,0.110073,1,0,0,1,0,0,0,0,0.0481758,0.934275,0.0175488,0.999725,0.998123
244150372,-37145.7,-7575.23,1260,0.839214,0.86919,0.8681,0,1,0,0,1,0,0,0,0.0545655,0.922931,0.0225031,0.980419,0.978992
219022165,-36739.1,-6925.13,1320,0,0.97958,0.00754612,1,0,0,1,0,0,0,0,0.051032,0.927553,0.0214146,0.99968,0.998232
244150372,-37225.5,-7669.94,1320,0.858022,0.868891,0.744627,0,1,0,0,1,0,0,0,0.0434453,0.925256,0.0312988,0.845238,0.84418
219022165,-36778.6,-6638.45,1380,0,0.97976,0.00749559,1,0,0,1,0,0,0,0,0.051727,0.92696,0.0213127,0.999723,0.998344
244150372,-37305.3,-7764.65,1380,0.84779,0.87361,0.814192,0,1,0,0,1,0,0,0,0.0466741,0.932006,0.0213198,0.924273,0.923586
219022165,-36821.3,-6356.3,1440,0,0.97977,0.00759188,1,0,0,1,0,0,0,0,0.0511342,0.927232,0.021634,0.999581,0.998437
244150372,-37385.1,-7859.37,1440,0.860931,0.886194,0.788265,0,1,0,0,1,0,0,0,0.0437702,0.920197,0.0360331,0.886758,0.88585
219022165,-36866.5,-6071.68,1500,0,0.9796,0.0075308,1,0,0,1,0,0,0,0,0.0536742,0.925067,0.0212593,0.99968,0.997043
244150372,-37464.9,-7954.09,1500,0.84866,0.877703,0.853072,0,1,0,0,1,0,0,0,0.0497767,0.929755,0.020468,0.957104,0.954914
