mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
219022165,-36602.2,-9265.43,780,0.979444,0.98993,1.87411e-05,0,0,1,0,0,0,0,0.0457037,0.904307,0.0499889,0.998312,0.998312
244150372,-36326.6,-6386.09,780,0.980222,0.99018,0,0,0,0,1,0,0,0,0.0504633,0.896028,0.0535089,0.995019,0.995019
219022165,-36765.7,-9025.02,840,0.979959,0.98966,8.63846e-06,0,0,1,0,0,0,0,0.044841,0.903921,0.051238,0.998197,0.996039
244150372,-36445.8,-6535.2,840,0.980486,0.99004,8.10846e-06,0,0,0,1,0,0,0,0.0482418,0.896098,0.0556605,0.995897,0.992574
219022165,-36920,-8789.9,900,0.979714,0.98978,7.92088e-06,0,0,1,0,0,0,0,0.0444414,0.90592,0.0496382,0.998047,0.995911
244150372,-36557.5,-6680.86,900,0.979875,0.99048,2.96557e-05,0,0,0,1,0,0,0,0.0479419,0.894479,0.0575789,0.9959,0.992299
219022165,-37084.6,-8550.98,960,0.979692,0.98992,0,0,0,1,0,0,0,0,0.0448473,0.905453,0.0496996,0.998361,0.988895
244150372,-36653.2,-6840.23,960,0.979943,0.99048,6.6558e-06,0,0,0,1,0,0,0,0.0495431,0.894254,0.056203,0.996734,0.989254
219022165,-37081.8,-8285.14,1020,0.0107532,0.99026,3.00648e-05,1,0,1,0,0,0,0,0.0490705,0.900279,0.0506507,0.988811,0.988516
244150372,-36756.9,-6997.21,1020,0.816239,0.99011,0.000344386,0,0,0,1,0,0,0,0.0161485,0.308492,0.675359,0.99338,0.993176
219022165,-36958.3,-8022.75,1080,0.137475,0.99028,1.33453e-05,1,0,1,0,0,0,0,0.0424697,0.914185,0.0433454,0.862308,0.860747
244150372,-36862.8,-7155.04,1080,0.798374,0.99058,3.36734e-06,0,0,0,1,0,0,0,0.0127326,0.228593,0.758675,0.991196,0.98904
219022165,-36826.7,-7768.89,1140,0,0.9896,1.63645e-05,1,0,1,0,0,0,0,0.0504386,0.899327,0.0502348,0.999616,0.998189
244150372,-36964.5,-7312.63,1140,0.77861,0.98997,3.70102e-06,0,0,0,1,0,0,0,0.0109895,0.194269,0.794741,0.999847,0.999559
219022165,-36743.7,-7499.54,1200,0,0.98956,1.56585e-05,1,0,1,0,0,0,0,0.0527891,0.897103,0.0501079,0.999591,0.998651
244150372,-37062.5,-7470.77,1200,0.773104,0.98985,3.87337e-06,0,0,0,1,0,0,0,0.0112255,0.198975,0.789799,0.999885,0.999739
219022165,-36721.9,-7213.36,1260,0,0.99006,1.54741e-05,1,0,1,0,0,0,0,0.0505527,0.900434,0.0490135,0.999379,0.997775
244150372,-37145.7,-7575.23,1260,0.795355,0.98994,1.78727e-06,0,0,0,1,0,0,0,0.00978193,0.179775,0.810444,0.999884,0.993347
219022165,-36739.1,-6925.13,1320,0,0.9902,1.43907e-05,1,0,1,0,0,0,0,0.0491432,0.900946,0.0499107,0.999734,0.998178
244150372,-37225.5,-7669.94,1320,0.768027,0.99006,4.39044e-06,0,0,0,1,0,0,0,0.0112194,0.203629,0.785151,0.999908,0.999565
219022165,-36778.6,-6638.45,1380,0,0.99006,1.58823e-05,1,0,1,0,0,0,0,0.0517763,0.898385,0.0498386,0.999521,0.99802
244150372,-37305.3,-7764.65,1380,0.734538,0.99018,3.69704e-06,0,0,0,1,0,0,0,0.0135148,0.236796,0.749689,0.999829,0.999521
219022165,-36821.3,-6356.3,1440,0,0.99028,1.64481e-05,1,0,1,0,0,0,0,0.0504518,0.899366,0.0501824,0.999635,0.998291
244150372,-37385.1,-7859.37,1440,0.769204,0.98989,2.69876e-06,0,0,0,1,0,0,0,0.0112797,0.206675,0.782045,0.999891,0.999524
219022165,-36866.5,-6071.68,1500,0,0.99025,1.54799e-05,1,0,1,0,0,0,0,0.0503767,0.899337,0.050286,0.999613,0.997245
244150372,-37464.9,-7954.09,1500,0.911935,0.9901,2.49902e-06,0,0,0,1,0,0,0,0.00438658,0.686673,0.30894,0.392012,0.391794
