mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
259351000,6048.32,9689.85,1260,0,0.99033,0.000312954,0,0,0,0,0,1,0,0,0.0487488,0.846311,0.10494,0.999832,0.985249,0,0
211200040,5269.27,9610.48,1320,0,0.990185,1,1,1,0,0,0,1,0,0,0.0505458,0.848878,0.100576,0.999903,0.982826,1,0
259351000,6023.15,9872.03,1320,0,0.99011,0.000266442,0,0,0,0,0,1,0,0,0.0471561,0.848263,0.104581,0.999977,0.982939,0,0
211200040,5323.71,9414.63,1380,0,0.989882,1,1,1,0,0,0,1,0,0,0.0505481,0.848188,0.101264,0.999896,0.983665,0,0
259351000,5993.53,10053.9,1380,0,0.99001,0.000186079,0,0,0,0,0,1,0,0,0.118144,0.789734,0.0921219,0.999782,0.986016,0,0
211200040,5355.89,9217.71,1440,0,0.989445,1,1,1,0,0,0,1,0,0,0.0510673,0.848094,0.100839,0.999895,0.982717,1,0
259351000,5968.71,10237.2,1440,0,0.99028,0.000331886,0,0,0,0,0,1,0,0,0.0666241,0.835305,0.098071,0.999998,0.990161,0,0
211200040,5399.27,8995.61,1500,0,0.989678,1,1,1,0,0,0,1,0,0,0.0501801,0.850567,0.0992525,0.999933,0.988268,1,0
259351000,5936.33,10420,1500,0,0.99032,0.000359719,0,0,0,0,0,1,0,0,0.0507686,0.844656,0.104575,0.999995,0.988917,0,0
211200040,5438.08,8769.25,1560,0,0.990791,1,1,1,1,0,0,1,0,0,0.0502851,0.851996,0.097719,0.999952,0.983425,1,0
259351000,5902.84,10602.4,1560,0,0.98991,0.000382084,0,0,0,0,0,1,0,0,0.0531727,0.847174,0.0996531,0.999991,0.978924,0,0
211200040,5466.54,8536.7,1620,0,0.99025,1,1,1,1,0,0,1,0,0,0.0509582,0.847559,0.101483,0.999952,0.988766,0,0
259351000,5861.77,10781.7,1620,0,0.98987,0.000295717,0,0,0,0,0,1,0,0,0.0410665,0.852755,0.106179,0.999991,0.98688,0,0
211200040,5538.83,8329.41,1680,0,0.989727,1,1,1,0,0,0,1,0,0,0.0487687,0.852511,0.0987204,0.999943,0.974814,1,0
259351000,5828.85,10962.6,1680,0,0.99008,0.000300172,0,0,0,0,0,1,0,0,0.0518427,0.841793,0.106365,0.99998,0.974451,0,0
211200040,5618.71,8123.06,1740,0,0.989909,1,1,1,0,0,0,1,0,0,0.0486649,0.852646,0.098689,0.999872,0.909576,1,0
259351000,5804.59,11133.6,1740,0,0.9901,0.000439756,0,0,0,0,0,1,0,0,0.0378721,0.847283,0.114845,0.999986,0.904155,0,0
211200040,5710.31,7924.51,1800,0,0.98996,1,1,1,0,0,0,1,0,0,0.0498734,0.851241,0.0988854,0.999909,0.987964,1,0
259351000,5774.12,11308,1800,0,0.99,0.000191369,0,0,0,0,0,1,0,0,0.0713971,0.829666,0.0989368,0.999984,0.989486,0,0
211200040,5786.23,7733.1,1860,0,0.989776,1,1,1,0,0,0,1,0,0,0.0493719,0.849714,0.100914,0.999897,0.90763,1,0
259351000,5749.9,11484.1,1860,0,0.99,0.000357584,0,0,0,0,0,1,0,0,0.0491664,0.843279,0.107555,0.999992,0.907195,0,0
211200040,5843.2,7532.26,1920,0,0.99019,1,1,1,0,0,0,1,0,0,0.049392,0.848624,0.101984,0.999941,0.997214,1,0
259351000,5730.62,11672.8,1920,0,0.99024,0.000296546,0,0,0,0,0,1,0,0,0.0409868,0.848025,0.110988,0.999989,0.997022,0,0
211200040,5916.92,7342.77,1980,0,0.989794,1,1,1,0,0,0,1,0,0,0.0502239,0.849092,0.100684,0.999936,0.474889,1,0
259351000,5706.64,11851.2,1980,0,0.98978,0.000367734,0,0,0,0,0,1,0,0,0.0381617,0.854724,0.107115,0.999985,0.480152,1,0
211200040,6035.81,7248.71,2040,0,0.990462,1,1,1,0,0,0,1,0,0,0.0500769,0.848374,0.101549,0.999917,0.277544,1,0
259351000,5671.99,12034,2040,0,0.98977,0.000345743,0,0,0,0,0,1,0,0,0.0443483,0.847078,0.108574,0.99989,0.303555,0,0
