mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
211237730,24812.2,2606.43,8760,0,0.99014,1.08475e-05,0,0,1,0,0,0,0,0.0492795,0.900928,0.0497922,1,0.992692
261146000,25548.4,1640.07,8760,0.968134,0.00564802,0.00148421,1,0,0,1,0,0,0,0.0558025,0.938842,0.00535566,0.995774,0.992492
211237730,24716.9,2749.81,8820,0,0.99008,1.10573e-05,0,0,1,0,0,0,0,0.0495249,0.899635,0.0508401,1,0.983328
261146000,25436,1568.5,8820,0.991399,0.00395641,0.00121556,1,0,0,1,0,0,0,0.0498308,0.946281,0.00388792,0.99721,0.989557
211237730,24612,2889.14,8880,0,0.99002,1.11491e-05,0,0,1,0,0,0,0,0.0490948,0.902529,0.0483767,1,0.975766
261146000,25314.1,1515.34,8880,0.977902,0.00450106,0.00162279,1,0,0,1,0,0,0,0.0465148,0.949563,0.00392264,0.997077,0.982824
211237730,24511,3029.62,8940,0,0.99024,1.1077e-05,0,0,1,0,0,0,0,0.0495026,0.898627,0.0518706,1,0.963655
261146000,25188,1469.87,8940,0.984712,0.00623306,0.00194205,1,0,0,1,0,0,0,0.0336303,0.96084,0.00552968,0.995664,0.952456
211237730,24421.1,3160.14,9000,0,0.99006,1.08975e-05,0,0,1,0,0,0,0,0.0483399,0.89949,0.0521705,1,0.989493
261146000,25066.1,1399.66,9000,0.994902,0.761374,0.000265002,1,0,0,1,0,0,0,0.00739325,0.991955,0.000652041,0.238881,0.233963
211237730,24322.1,3275.72,9060,0,0.98951,1.10941e-05,0,0,1,0,0,0,0,0.0499098,0.89966,0.0504305,1,0.950393
261146000,24955.8,1340.23,9060,0.978863,0.00986857,0.00223466,1,0,0,1,0,0,0,0.0588582,0.932315,0.00882686,0.992317,0.93317
211237730,24244.8,3389.85,9120,0,0.99049,1.11225e-05,0,0,1,0,0,0,0,0.0497189,0.900333,0.0499481,1,0.911204
261146000,24833.6,1289.98,9120,0.975881,0.00228679,0.0010263,1,0,0,1,0,0,0,0.0311235,0.966535,0.00234145,0.998699,0.86589
211237730,24167,3495.64,9180,0,0.99049,1.09444e-05,0,0,1,0,0,0,0,0.0488807,0.899329,0.0517899,1,0.963975
261146000,24720.4,1228.99,9180,0.982643,0.00281567,0.00100906,1,0,0,1,0,0,0,0.0872487,0.90975,0.0030014,0.998136,0.965731
211237730,24099.4,3611.62,9240,0,0.99005,1.11021e-05,0,0,1,0,0,0,0,0.0490566,0.89882,0.0521238,0.999979,0.931633
261146000,24600,1169.5,9240,0.979437,0.00322605,0.00145184,1,0,0,1,0,0,0,0.0796152,0.917497,0.00288746,0.998181,0.918972
211237730,24011.3,3716.24,9300,0,0.99019,1.10023e-05,0,0,1,0,0,0,0,0.0499854,0.898343,0.051672,1,0.988152
261146000,24486.8,1100.52,9300,0.99782,0.00454891,0.00117785,1,0,0,1,0,0,0,0.0920406,0.903376,0.00458308,0.996565,0.978025
211237730,23977.1,3831.18,9360,0,0.98978,1.10234e-05,1,0,1,0,0,0,0,0.0494728,0.90151,0.0490173,0.999975,0.964532
261146000,24398.7,1011.69,9360,0.945093,0.0069358,0.00104118,1,1,0,1,0,0,0,0.04373,0.949224,0.00704567,0.994049,0.972149
211237730,23935.4,3925.57,9420,0.0021266,0.990067,0.0021418,1,0,1,0,0,0,0,0.0484745,0.90307,0.0484557,1,0.999417
261146000,24371.6,901.086,9420,0.998974,0.00178332,0.00179746,1,1,0,1,0,0,0,0.080931,0.917947,0.00112151,0.999983,0.999983
211237730,23901.5,4010.48,9480,0,0.990204,1.78912e-05,1,0,1,0,0,0,0,0.0506366,0.900101,0.0492625,1,0.999738
261146000,24360.2,783.268,9480,0.999091,0.00689243,0.00134221,1,1,0,1,0,0,0,4.34139e-07,0.993492,0.00650723,0.994419,0.994419
