own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
205453000;636016188;8.09905505952381;4.556507936507936;8503.854698311818;;8503.854698311818;1000.29388181674;3.0;
636016188;205453000;4.556507936507936;8.09905505952381;8503.854698311818;;8503.854698311818;1000.29388181674;3.0;
205453000;636016188;8.09905505952381;4.556507936507936;8503.854698311818;;8503.854698311818;1000.29388181674;3.0;
636016188;205453000;4.556507936507936;8.09905505952381;8503.854698311818;;8503.854698311818;1000.29388181674;3.0;
244090097;255802940;8.453118386243384;4.266941550925926;3795.798068917786;;3795.798068917786;1000.5613824248866;-2.0;
219348000;257694000;8.72646484375;8.185393880208334;8469.022659669768;;8469.022659669768;1000.7151942485938;3.0;
257694000;219348000;8.185393880208334;8.72646484375;8469.022659669768;;8469.022659669768;1000.7151942485938;3.0;
219348000;257694000;8.72646484375;8.185393880208334;8469.022659669768;;8469.022659669768;1000.7151942485938;3.0;
257694000;219348000;8.185393880208334;8.72646484375;8469.022659669768;;8469.022659669768;1000.7151942485938;3.0;
258113000;244543000;4.488404113247864;5.6514690170940165;13979.748210894217;;13979.748210894217;1001.0165283350724;-1.0;
258113000;244543000;4.620354166666667;5.751328125;12619.456232738396;;12757.559547578056;1001.0165283350724;-1.0;
258113000;244543000;4.702343749999999;5.246931423611111;10344.031984192625;;10344.031984192625;1001.0165283350724;-1.0;
258113000;244543000;4.702343749999999;5.246931423611111;10348.271230017115;;10348.271230017115;1001.3511072545938;-1.0;
232007940;230666000;2.709541377314815;5.778791956018519;12651.659641722898;;12651.659641722898;1001.579083248048;-1.0;
256600000;257056010;4.320529513888888;4.748965277777779;11833.874756815709;;11833.874756815709;1001.5803512449731;3.0;
257056010;256600000;4.748965277777779;4.320529513888888;11833.874756815709;;11833.874756815709;1001.5803512449731;3.0;
256600000;257056010;4.320529513888888;4.748965277777779;11833.874756815709;;11833.874756815709;1001.5803512449731;3.0;
257056010;256600000;4.748965277777779;4.320529513888888;11833.874756815709;;11833.874756815709;1001.5803512449731;3.0;
258829000;259983000;4.199203016493056;5.542335069444444;5977.639296578542;;5977.639296578542;1001.5887878765416;3.0;
259983000;258829000;5.542335069444444;4.199203016493056;5977.639296578542;;5977.639296578542;1001.5887878765416;3.0;
