mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
205685000;2020-01-04 15:35:00;;;;;;5.48977;59.2701
205685000;2020-01-04 15:36:00;;;;;;5.48977;59.2701
205685000;2020-01-04 15:37:00;;;;;;5.48977;59.2701
205685000;2020-01-04 15:38:00;;;;;;5.48977;59.2701
205685000;2020-01-04 15:39:00;;;;;;5.48977;59.2701
205685000;2020-01-04 15:40:00;0.0;68.3;306.0;5;;5.48977;59.270109
205685000;2020-01-04 15:41:00;0.0;23.8;306.0;5;;5.48977;59.270142
205685000;2020-01-04 15:42:00;0.1;339.4;306.0;5;;5.48977;59.270176
205685000;2020-01-04 15:43:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:44:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:45:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:46:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:47:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:48:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:49:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:50:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:51:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:52:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:53:00;;;;;;5.48977;59.2702
205685000;2020-01-04 15:54:00;;;;;;5.48977;59.2702
205772000;2020-01-04 15:35:00;;;;;;5.49733;59.2712
205772000;2020-01-04 15:36:00;0.0;358.0;204.0;5;;5.497326;59.271215
205772000;2020-01-04 15:37:00;0.0;358.0;204.0;5;;5.497316;59.271248
205772000;2020-01-04 15:38:00;0.0;358.0;204.0;5;;5.497306;59.271281
205772000;2020-01-04 15:39:00;0.0;358.0;204.0;5;;5.497301;59.271295
205772000;2020-01-04 15:40:00;0.0;358.0;204.0;5;;5.497305;59.271284
205772000;2020-01-04 15:41:00;0.0;358.0;204.0;5;;5.497308;59.271273
205772000;2020-01-04 15:42:00;0.0;358.0;204.0;5;;5.497311;59.271262
205772000;2020-01-04 15:43:00;0.0;358.0;204.0;5;;5.497315;59.271251
205772000;2020-01-04 15:44:00;0.0;358.0;204.0;5;;5.497318;59.27124
205772000;2020-01-04 15:45:00;0.0;358.0;204.0;5;;5.497321;59.271229
205772000;2020-01-04 15:46:00;0.0;358.0;204.0;5;;5.497325;59.271218
205772000;2020-01-04 15:47:00;0.0;358.0;204.0;5;;5.497328;59.271206
205772000;2020-01-04 15:48:00;0.0;358.0;204.0;5;;5.49733;59.271214
205772000;2020-01-04 15:49:00;0.0;358.0;204.0;5;;5.49733;59.271248
205772000;2020-01-04 15:50:00;0.0;358.0;204.0;5;;5.49733;59.271281
205772000;2020-01-04 15:51:00;0.0;18.1;204.0;5;;5.49733;59.271285
205772000;2020-01-04 15:52:00;0.0;62.6;204.0;5;;5.49733;59.271251
205772000;2020-01-04 15:53:00;0.0;107.2;204.0;5;;5.49733;59.271218
205772000;2020-01-04 15:54:00;;;;;;5.49733;59.2712
210055000;2020-01-04 15:35:00;11.8;29.3;23.0;0;;5.29524;59.6156
210055000;2020-01-04 15:36:00;11.9;28.6;23.0;0;;5.29833;59.6185
210055000;2020-01-04 15:37:00;11.9;28.1;24.0;0;;5.301452;59.621436
